event_num,event,date,venue,attendance,city,state,country,weight_class,winner,loser,method,round,time,fight_card,event_name,link
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Women's Flyweight,Bruna Ellen,Ilara Joanne,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 295,https://en.wikipedia.org//wiki/Bellator_295
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Welterweight,Masayuki Kikuiri,Alexey Shurkevich,KO (punch),2.0,273.0,Preliminary card (Youtube/Pluto TV),Bellator 295,https://en.wikipedia.org//wiki/Bellator_295
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Heavyweight,Davion Franklin,Kasim Aras,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 295,https://en.wikipedia.org//wiki/Bellator_295
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Women's Flyweight,Sumiko Inaba,Veta Arteaga,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 295,https://en.wikipedia.org//wiki/Bellator_295
299,Bellator 294,2023-04-21,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Women's Featherweight,Sara McMann,Arlene Blencowe,"Decision (unanimous) (29–27, 30–27, 30–26)",3.0,300.0,Main card,Bellator 294,https://en.wikipedia.org//wiki/Bellator_294
299,Bellator 294,2023-04-21,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Women's Flyweight,Liz Carmouche (c),DeAnna Bennett,Submission (arm-triangle choke),4.0,269.0,Main card,Bellator 294,https://en.wikipedia.org//wiki/Bellator_294
299,Bellator 294,2023-04-21,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Welterweight,Levan Chokheli,Michael Lombardo,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,300.0,Main card,Bellator 294,https://en.wikipedia.org//wiki/Bellator_294
299,Bellator 294,2023-04-21,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Heavyweight,Tyrell Fortune,Sergey Bilostenniy,DQ (punches to the back of the head),1.0,206.0,Preliminary card (Youtube/Pluto TV),Bellator 294,https://en.wikipedia.org//wiki/Bellator_294
299,Bellator 294,2023-04-21,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Catchweight (152.4 lb),Cris Lencioni,Blake Smith,Submission (inverted triangle choke),2.0,219.0,Preliminary card (Youtube/Pluto TV),Bellator 294,https://en.wikipedia.org//wiki/Bellator_294
299,Bellator 294,2023-04-21,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Middleweight,Sharaf Davlatmurodov,Anthony Adams,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 294,https://en.wikipedia.org//wiki/Bellator_294
299,Bellator 294,2023-04-21,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Lightweight,Killys Mota,Kenneth Cross,Submission (rear-naked choke),2.0,134.0,Preliminary card (Youtube/Pluto TV),Bellator 294,https://en.wikipedia.org//wiki/Bellator_294
299,Bellator 294,2023-04-21,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Heavyweight,Timothy Johnson,Said Sowma,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Main card,Bellator 294,https://en.wikipedia.org//wiki/Bellator_294
299,Bellator 294,2023-04-21,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US,Bantamweight,Danny Sabatello,Marcos Breno,Submission (rear-naked choke),2.0,250.0,Main card,Bellator 294,https://en.wikipedia.org//wiki/Bellator_294
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Light Heavyweight,Luke Trainer,Sullivan Cauley,Submission (rear-naked choke),1.0,178.0,Main card,Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Women's Featherweight,Sara Collins,Pam Sorenson,Submission (scarf hold armlock),1.0,163.0,Preliminary card (Youtube/Pluto TV),Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Bantamweight,Bryce Meredith,Brandon Carrillo,Submission (rear-naked choke),2.0,191.0,Preliminary card (Youtube/Pluto TV),Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
