#,event,date,venue,attendance,city,state,country
190,Bellator 190,2017-12-09,Nelson Mandela Forum,,,Florence, Italy
189,Bellator 189,2017-12-01,WinStar World Casino,,Thackerville, Oklahoma, US
—,Bellator: Monster Energy Fight Series: Homestead,2017-11-19,Homestead-Miami Speedway,,Homestead, Florida, US
188,Bellator 188,2017-11-16,Menora Mivtachim Arena,,,Tel Aviv, Israel
187,Bellator 187,2017-11-10,3Arena,,,Dublin, Ireland
186,Bellator 186,2017-11-03,Bryce Jordan Center,,University Park, Pennsylvania, US
185,Bellator 185,2017-10-20,Mohegan Sun Arena,8346.0,Uncasville, Connecticut, US
—,Bellator: Monster Energy Fight Series: Talladega,2017-10-13,Talladega Superspeedway,,Lincoln, Alabama, US
184,Bellator 184,2017-10-06,WinStar World Casino,1247.0,Thackerville, Oklahoma, US
183,Bellator 183,2017-09-23,SAP Center,5897.0,San Jose, California, US
182,Bellator 182,2017-08-25,Turning Stone Resort & Casino,4390.0,Verona, New York, US
—,Bellator: Monster Energy Fight Series: Bristol,2017-08-19,Bristol Motor Speedway,,Bristol, Tennessee, US
181,Bellator 181,2017-07-14,WinStar World Casino,1247.0,Thackerville, Oklahoma, US
180,Bellator NYC,2017-06-24,Madison Square Garden,12133.0,,New York City, US
—,Bellator: Monster Energy Fight Series: Charlotte,2017-05-20,Charlotte Motor Speedway,,Charlotte, North Carolina, US
179,Bellator 179,2017-05-19,"The SSE Arena, Wembley",11872.0,London, England, UK
178,Bellator 178,2017-04-21,Mohegan Sun Arena,9010.0,Uncasville, Connecticut, US
177,Bellator 177,2017-04-14,Budapest Sports Arena,11439.0,,Budapest, Hungary
176,Bellator 176,2017-04-08,Pala Alpitour,9216.0,,Torino, Italy
175,Bellator 175,2017-03-31,Allstate Arena,11807.0,Rosemont, Illinois, US
174,Bellator 174,2017-03-03,WinStar World Casino,1211.0,Thackerville, Oklahoma, US
173,Bellator 173,2017-02-24,SSE Arena Belfast,10461.0,,Belfast, UK
172,Bellator 172,2017-02-18,SAP Center,7273.0,San Jose, California, US
171,Bellator 171,2017-01-27,Kansas Star Casino,3206.0,Mulvane, Kansas, US
170,Bellator 170,2017-01-21,The Forum,11972.0,Inglewood, California, US
169,Bellator 169,2016-12-16,3Arena,12184.0,,Dublin, Ireland
168,Bellator 168,2016-12-10,Nelson Mandela Forum,8113.0,,Florence, Italy
167,Bellator 167,2016-12-03,WinStar World Casino,1274.0,Thackerville, Oklahoma, US
166,Bellator 166,2016-12-02,WinStar World Casino,1350.0,Thackerville, Oklahoma, US
165,Bellator 165,2016-11-19,SAP Center,13156.0,San Jose, California, US
164,Bellator 164,2016-11-10,Menora Mivtachim Arena,8937.0,,Tel Aviv, Israel
163,Bellator 163,2016-11-04,Mohegan Sun Arena,9156.0,Uncasville, Connecticut, US
162,Bellator 162,2016-10-21,FedEx Forum,9140.0,Memphis, Tennessee, US
—,Bellator Kickboxing 3,2016-09-17,SYMA Hall,,,Budapest, Hungary
161,Bellator 161,2016-09-16,H-E-B Center at Cedar Park,8632.0,Cedar Park, Texas, US
160,Bellator 160,2016-08-26,Honda Center,9139.0,Anaheim, California, US
159,Bellator 159,2016-07-23,Kansas Star Arena,3124.0,Mulvane, Kansas, US
158,Bellator 158,2016-07-16,O2 Arena,12311.0,,London, England
157,Bellator 157: Dynamite 2,2016-06-24,Scottrade Center,11982.0,St.Louis, Missouri, US
156,Bellator 156,2016-06-17,Save Mart Center,5552.0,Fresno, California, US
155,Bellator 155,2016-05-20,CenturyLink Arena,6120.0,Boise, Idaho, US
154,Bellator 154,2016-05-14,SAP Center,11084.0,San Jose, California, US
153,Bellator 153,2016-04-22,Mohegan Sun Arena,9043.0,Uncasville, Connecticut, US
152,Bellator 152,2016-04-16,Pala Alpitour,13867.0,,Torino, Italy
151,Bellator 151,2016-03-04,WinStar World Casino,1152.0,Thackerville, Oklahoma, US
150,Bellator 150,2016-02-26,Kansas Star Casino,3288.0,Mulvane, Kansas, US
149,Bellator 149,2016-02-19,Toyota Center,14209.0,Houston, Texas, US
148,Bellator 148,2016-01-29,Save Mart Center,5425.0,Fresno, California, US
147,Bellator 147,2015-12-04,San Jose State University,2076.0,San Jose, California, US
146,Bellator 146,2015-11-20,WinStar World Casino,1246.0,Thackerville, Oklahoma, US
145,Bellator 145,2015-11-06,Scottrade Center,5259.0,St. Louis, Missouri, US
144,Bellator 144,2015-10-23,Mohegan Sun Arena,6009.0,Uncasville, Connecticut, US
143,Bellator 143,2015-09-25,State Farm Arena,3756.0,Hidalgo, Texas, US
142,Bellator 142: Dynamite 1,2015-09-19,SAP Center,11732.0,San Jose, California, US
141,Bellator 141,2015-08-28,Pechanga Resort & Casino,1200.0,Temecula, California, US
140,Bellator 140,2015-07-17,Mohegan Sun Arena,7610.0,Uncasville, Connecticut, US
139,Bellator 139,2015-06-26,Kansas Star Casino,2500.0,Mulvane, Kansas, US
138,Bellator 138,2015-06-19,Scottrade Center,6724.0,St. Louis, Missouri, US
137,Bellator 137,2015-05-15,Pechanga Resort & Casino,1200.0,Temecula, California, US
136,Bellator 136,2015-04-10,Bren Events Center,4869.0,Irvine, California, US
135,Bellator 135,2015-03-27,WinStar World Casino,1345.0,Thackerville, Oklahoma, US
134,Bellator 134: The British Invasion,2015-02-27,Mohegan Sun Casino,8372.0,Uncasville, Connecticut, US
133,Bellator 133,2015-02-13,Save Mart Center,5184.0,Fresno, California, US
132,Bellator 132,2015-01-16,Pechanga Resort & Casino,1300.0,Temecula, California, US
131,Bellator 131,2014-11-15,Valley View Casino Center,8243.0,San Diego, California, US
130,Bellator 130,2014-10-24,Kansas Star Arena,2700.0,Mulvane, Kansas, US
–,Bellator 2014 Monster Energy Cup,2014-10-18,Sam Boyd Stadium,,Whitney, Nevada, US
129,Bellator 129,2014-10-17,Mid-America Center,3951.0,Council Bluffs, Iowa, US
128,Bellator 128,2014-10-10,Winstar World Casino,1325.0,Thackerville, Oklahoma, US
127,Bellator 127,2014-10-03,Pechanga Resort & Casino,1200.0,Temecula, California, US
126,Bellator 126,2014-09-26,Grand Canyon University Arena,6300.0,Phoenix, Arizona, US
125,Bellator 125,2014-09-19,Save Mart Center,5000.0,Fresno, California, US
124,Bellator 124,2014-09-12,Compuware Arena,2468.0,Plymouth Township, Michigan, US
123,Bellator 123,2014-09-05,Mohegan Sun Arena,7109.0,Uncasville, Connecticut, US
122,Bellator 122,2014-07-25,Pechanga Resort & Casino,1150.0,Temecula, California, US
121,Bellator 121,2014-06-06,WinStar World Casino,1100.0,Thackerville, Oklahoma, US
120,Bellator 120,2014-05-17,Landers Center,8115.0,Southaven, Mississippi, US
119,Bellator 119,2014-05-09,Casino Rama,,Rama, Ontario, Canada
118,Bellator 118,2014-05-02,Revel Atlantic City,,Atlantic City, New Jersey, US
117,Bellator 117,2014-04-18,Mid-America Center,,Council Bluffs, Iowa, US
116,Bellator 116,2014-04-11,Pechanga Resort & Casino,,Temecula, California, US
115,Bellator 115,2014-04-04,Reno Events Center,,Reno, Nevada, US
114,Bellator 114,2014-03-28,Maverik Center,,West Valley City, Utah, US
113,Bellator 113,2014-03-21,Kansas Star Arena,,Mulvane, Kansas, US
112,Bellator 112,2014-03-14,The Horseshoe,,Hammond, Indiana, US
111,Bellator 111,2014-03-07,WinStar World Casino,,Thackerville, Oklahoma, US
110,Bellator 110,2014-02-28,Mohegan Sun Arena,,Uncasville, Connecticut, US
109,Bellator 109,2013-11-22,Sands Casino Event Center,,Bethlehem, Pennsylvania, US
108,Bellator 108,2013-11-15,Revel Casino,,Atlantic City, New Jersey, US
107,Bellator 107,2013-11-08,WinStar World Casino,,Thackerville, Oklahoma, US
106,Bellator 106,2013-11-02,Convention and Entertainment Center,6596.0,Long Beach, California, US
105,Bellator 105,2013-10-25,Santa Ana Star Center,,Rio Rancho, New Mexico, US
104,Bellator 104,2013-10-18,U.S. Cellular Center,,Cedar Rapids, Iowa, US
103,Bellator 103,2013-10-11,Kansas Star Arena,,Mulvane, Kansas, US
102,Bellator 102,2013-10-04,Visalia Convention Center,1482.0,Visalia, California, US
101,Bellator 101,2013-09-27,Rose Garden,2368.0,Portland, Oregon, US
100,Bellator 100,2013-09-20,Grand Canyon University Arena,,Phoenix, Arizona, US
99,Bellator 99,2013-09-13,Pechanga Resort & Casino,,Temecula, California, US
98,Bellator 98,2013-09-07,Mohegan Sun Arena,,Uncasville, Connecticut, US
97,Bellator 97,2013-07-31,Santa Ana Star Center,,Rio Rancho, New Mexico, US
96,Bellator 96,2013-06-19,Winstar World Casino,,Thackerville, Oklahoma, US
95,Bellator 95,2013-04-04,Revel Casino,,Atlantic City, New Jersey, US
94,Bellator 94,2013-03-28,USF Sun Dome,,Tampa, Florida, US
93,Bellator 93,2013-03-21,Androscoggin Bank Colisée,,Lewiston, Maine, US
92,Bellator 92,2013-03-07,Pechanga Resort and Casino,,Temecula, California, US
91,Bellator 91,2013-02-28,Santa Ana Star Center,,Rio Rancho, New Mexico, US
90,Bellator 90,2013-02-21,Maverik Center,,West Valley City, Utah, US
89,Bellator 89,2013-02-14,Bojangles' Coliseum,,Charlotte, North Carolina, US
88,Bellator 88,2013-02-07,Arena at Gwinnett Center,4267.0,Duluth, Georgia, US
87,Bellator 87,2013-01-31,Soaring Eagle Casino,850.0,Mount Pleasant, Michigan, US
86,Bellator 86,2013-01-24,WinStar World Casino,1288.0,Thackerville, Oklahoma, US
85,Bellator 85,2013-01-17,Bren Events Center,3002.0,Irvine, California, US
84,Bellator 84,2012-12-14,Horseshoe Casino,,Hammond, Indiana, US
83,Bellator 83,2012-12-07,Caesars Atlantic City,,Atlantic City, New Jersey, US
82,Bellator 82,2012-11-30,Soaring Eagle Casino,,Mount Pleasant, Michigan, US
81,Bellator 81,2012-11-16,Ryan Center,,Kingston, Rhode Island, US
80,Bellator 80,2012-11-09,Seminole Hard Rock Hotel & Casino,,Hollywood, Florida, US
