weight_class,winner,loser,method,round,time,fight_card,event_name,event_id
Featherweight,Charles Rosa,Sean Soriano,Submission (D'Arce choke),3.0,283.0,Preliminary Card (Fox Sports 1),UFC Fight Night: McGregor vs. Siver,d624807f6b5e315393db436ec9def385c599cc3db8a8e0854bf52870ea0cdd78
Lightweight,Myles Jury,Takanori Gomi,TKO (punches),1.0,92.0,Main card,UFC Fight Night: Hunt vs. Nelson,558a5028735da906cafe53fe570390a0f8cbdf3df16570a8a9fee39b1fe2fa47
Middleweight,Daniel Sarafian,Antônio dos Santos Jr.,TKO (finger injury),2.0,61.0,Main card,UFC Fight Night: Machida vs. Dollaway,2333db6a495b21d89bbddb380179504a3148f0ba65c6e8b3a9788159159c03af
Women's Strawweight,Jessica Penne,Randa Markos,"Decision (split) (28–29, 30–27, 29–28)",3.0,300.0,Main card,The Ultimate Fighter: A Champion Will Be Crowned Finale,9edb927857453ca3a5bbddc0ea3c8e84b4c21842572c929ed9c405744798b955
Welterweight,Tyron Woodley,Dong Hyun Kim,TKO (punches),1.0,61.0,Main card,UFC Fight Night: Bisping vs. Le,bb13ecfbd51062511b3b18b6ba41d79d6809fec3661209138088127404091547
Lightweight,Tae Hyun Bang,Kajan Johnson,KO (punch),3.0,121.0,Preliminary card (FX),UFC 174: Johnson vs. Bagautinov,339945df3d762652930a3bff67121673a036df3e63410826582f78d8a65b77c9
Heavyweight,Fabrício Werdum,Travis Browne,"Decision (unanimous) (49–46, 50–45, 50–45)",5.0,300.0,Main card,UFC on Fox: Werdum vs. Browne,8acfa2f00ba781d327e834cd7bfd8cec06df9257078c82e64f8723e1c4b24eb2
Light Heavyweight,Nikita Krylov,Stanislav Nedkov,Submission (standing guillotine choke),1.0,84.0,Preliminary Card (Fox Sports 1),UFC on Fox: Gustafsson vs. Johnson,e9b574455126acb3cf207cf1b5dca0651a6013dd5da8290d97cdb17beb5f30ad
Heavyweight,Derrick Lewis,Guto Inocente,TKO (punches),1.0,210.0,Main card,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,f9489b12262addcbf482440a4e394beaf8cb7fa0c73421a3482f85581a06a61f
Heavyweight,Soa Palelei,Ruan Potts,KO (punches),1.0,140.0,Main card,UFC Fight Night: Brown vs. Silva,d7f0dfddfaa857feb91e0c8600dce56921ef9618b9a41aa209815dff19188de6
Middleweight,Magnus Cedenblad,Scott Askham,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (UFC Fight Pass),UFC Fight Night: Nelson vs. Story,ae43463a16d944844255b7f8402d8de64d5623c27532dfb4548cd68721059eb0
Light Heavyweight,Ryan Bader,Rafael Cavalcante,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC 174: Johnson vs. Bagautinov,339945df3d762652930a3bff67121673a036df3e63410826582f78d8a65b77c9
Middleweight,Cezar Ferreira,Andrew Craig,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,300.0,Main card,UFC Fight Night: Swanson vs. Stephens,e11abc132f1ff95baf23fabd37a6fcc6472ecf41ad5fe7988f4d8e1b82080e82
Bantamweight,Takeya Mizugaki,Francisco Rivera,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,300.0,Main card,UFC 173: Barão vs. Dillashaw,f4198edd700729c27709991dfbf92367b85568a6a5874fc40c0ba9bac98f5209
Flyweight,Ray Borg,Shane Howell,Submission (rear-naked choke),1.0,137.0,Preliminary card (Fox Sports 1),UFC Fight Night: Swanson vs. Stephens,e11abc132f1ff95baf23fabd37a6fcc6472ecf41ad5fe7988f4d8e1b82080e82
Bantamweight,Iuri Alcântara,Vaughan Lee,TKO (punches),1.0,25.0,Preliminary card (UFC Fight Pass),UFC Fight Night: Muñoz vs. Mousasi,2cc542048990eab47c2fa9a3ec9832af229c05a4e733737379f1fe607b19c9a4
Light Heavyweight,Fábio Maldonado,Hans Stringer,TKO (punches),2.0,246.0,Main card,UFC 179: Aldo vs. Mendes 2,d16b88d8241645510106e8b9e3f6e32aa7c3c71e00d54d1216e0579e4724081f
Lightweight,Leonardo Santos,Efrain Escudero,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Bigfoot vs. Arlovski,b9c819d2ffa6d33b866c579a42f3581c160644ef7ba5f9836a5975ffd14e185e
Welterweight,Ryan LaFlare,John Howard,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Nogueira vs. Nelson,b8aedd2e4cc76cbafb3461812fdb849181875a9b3b0b560a466db9b9c7689f12
Flyweight,Ian McCall,Brad Pickett,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Main card,UFC Fight Night: McGregor vs. Brandão,3a46c4543511abab752fcfd9e25e5a744d7c06c34b4242077bb43a88e358724a
Bantamweight,Marco Beltrán,Marlon Vera,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (UFC Fight Pass),UFC 180: Werdum vs. Hunt,d8367ad34bbf5db6ea4e87c535efdc5e4b119e1288f7221c921372e2cd33f4cd
Bantamweight,Raphael Assunção,Bryan Caraway,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: MacDonald vs. Saffiedine,5f12a76ed2214b2a88d6e157c42751360d2a47dd2272dc76ee8affd5d52db48e
Lightweight,Tony Ferguson,Danny Castillo,"Decision (split) (28–29, 29–28, 29–28)",3.0,300.0,Main card,UFC 177: Dillashaw vs. Soto,5d3715e4602d9b07fa63f8c5ada509a47a20769091989bfbcb5bebb9558becba
Flyweight,Brad Pickett,Neil Seery,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Main card,UFC Fight Night: Gustafsson vs. Manuwa,1b2c202592328cb8212da7ff5918f5aee536d822c0d96be884074d0f46d109c3
Lightweight,Kevin Lee,Jon Tuck,"Decision (unanimous) (30–26, 30–26, 30–26)",3.0,300.0,Preliminary card (UFC Fight Pass),UFC 178: Johnson vs. Cariaso,ac8cb9217d09d90cc34520d88ead646e8d59b6383b0d47e45dffc76f4f6984fa
Middleweight,Tim Boetsch,Brad Tavares,TKO (punches),2.0,198.0,Main card,UFC Fight Night: Bader vs. Saint Preux,0d5c9e3cb27ca896c4cb65ef67c842b2b0e6fe1e33e295d1bda9c5739f5c7388
Bantamweight,Sergio Pettis,Yaotzin Meza,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (Fox Sports 1),UFC Fight Night: Henderson vs. Khabilov,966680fb8a8834c9f776d13f554b80a519cf31f0d1b47d55e86ca3fcfbca1de4
Light Heavyweight,Corey Anderson,Justin Jones,"Decision (unanimous) (30–27, 30–27, 30–26)",3.0,300.0,Preliminary Card (Fox Sports 1),UFC 181: Hendricks vs. Lawler II,51245e97b4bbee8a230aece69e84e4694aaf9a08e9e96740beea8e1e50ea4d83
Women's Bantamweight,Miesha Tate,Rin Nakai,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Hunt vs. Nelson,558a5028735da906cafe53fe570390a0f8cbdf3df16570a8a9fee39b1fe2fa47
Heavyweight,Andrei Arlovski,Brendan Schaub,"Decision (split) (28–29, 29–28, 29–28)",3.0,300.0,Main card,UFC 174: Johnson vs. Bagautinov,339945df3d762652930a3bff67121673a036df3e63410826582f78d8a65b77c9
Welterweight,Ben Saunders,Chris Heatherly,Submission (omoplata),1.0,138.0,Preliminary card (Fox Sports 2),UFC Fight Night: Henderson vs. dos Anjos,a4600b4385378825794e7ed44eec87896c8ffe9ef2ef4fdfa0a676b4b59cec1c
Welterweight,Kenny Robertson,Sultan Aliev,TKO (punches),1.0,162.0,Preliminary Card (Fox Sports 1),UFC on Fox: Gustafsson vs. Johnson,e9b574455126acb3cf207cf1b5dca0651a6013dd5da8290d97cdb17beb5f30ad
Catchweight (116.5 lb),Joanna Jędrzejczyk,Juliana Lima,"Decision (unanimous) (30–27, 29–28, 30–27)",3.0,300.0,Preliminary card (UFC Fight Pass),UFC on Fox: Lawler vs. Brown,04ce543b2c48fb806c75f2ba834b4fe19b04325abe1229f416e7daa5a676f081
Light Heavyweight,Anthony Johnson,Alexander Gustafsson,TKO (punches),1.0,135.0,Main card,UFC on Fox: Gustafsson vs. Johnson,e9b574455126acb3cf207cf1b5dca0651a6013dd5da8290d97cdb17beb5f30ad
Welterweight,George Sullivan,Igor Araújo,KO (punches),2.0,151.0,Preliminary card (UFC Fight Pass),UFC Fight Night: Bigfoot vs. Arlovski,b9c819d2ffa6d33b866c579a42f3581c160644ef7ba5f9836a5975ffd14e185e
Welterweight,Rory MacDonald,Tyron Woodley,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC 174: Johnson vs. Bagautinov,339945df3d762652930a3bff67121673a036df3e63410826582f78d8a65b77c9
Lightweight,Leonardo Santos,Norman Parke,"Draw (majority) (29–27, 28–28, 28–28)",3.0,300.0,Main card,UFC Fight Night: Shogun vs. Henderson 2,c7e811f1527b8adfbc9318fb7e7e11f5b52247c44348eacb44899c486274ef43
Lightweight,Bryan Barberena,Joe Ellenberger,TKO (elbows and punches),3.0,204.0,Preliminary Card (Fox Sports 1),UFC on Fox: dos Santos vs. Miocic,2bb592e132a7ef891b3cc86ee0c24b212c9d42d5beab37816002b7bc2b0769b6
Lightweight,Tony Ferguson,Katsunori Kikuno,KO (punch),1.0,246.0,Preliminary card (Fox Sports 1),UFC 173: Barão vs. Dillashaw,f4198edd700729c27709991dfbf92367b85568a6a5874fc40c0ba9bac98f5209
Light Heavyweight,Ryan Bader,Ovince Saint Preux,"Decision (unanimous) (48–47, 49–46, 49–46)",5.0,300.0,Main card,UFC Fight Night: Bader vs. Saint Preux,0d5c9e3cb27ca896c4cb65ef67c842b2b0e6fe1e33e295d1bda9c5739f5c7388
Lightweight,Jim Miller,Yancy Medeiros,Technical Submission (guillotine choke),1.0,198.0,Main card,UFC 172: Jones vs. Teixeira,006318d7a2f82ea8c94da2a9a16f52237367495d7dfc1c347eb50cc7a7b6449b
Light Heavyweight,Alexander Gustafsson,Jimi Manuwa,TKO (knee and punches),2.0,78.0,Main card,UFC Fight Night: Gustafsson vs. Manuwa,1b2c202592328cb8212da7ff5918f5aee536d822c0d96be884074d0f46d109c3
Featherweight,Clay Guida,Tatsuya Kawajiri,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Nogueira vs. Nelson,b8aedd2e4cc76cbafb3461812fdb849181875a9b3b0b560a466db9b9c7689f12
Bantamweight,Bryan Caraway,Érik Pérez,Submission (rear-naked choke),2.0,112.0,Main card,UFC Fight Night: Henderson vs. Khabilov,966680fb8a8834c9f776d13f554b80a519cf31f0d1b47d55e86ca3fcfbca1de4
Light Heavyweight,Fábio Maldonado,Gian Villante,"Decision (unanimous) (29–27, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Shogun vs. Henderson 2,c7e811f1527b8adfbc9318fb7e7e11f5b52247c44348eacb44899c486274ef43
Catchweight (128 lb),Wilson Reis,Scott Jorgensen,Submission (arm-triangle choke),1.0,208.0,Preliminary card (Fox Sports 1),UFC 179: Aldo vs. Mendes 2,d16b88d8241645510106e8b9e3f6e32aa7c3c71e00d54d1216e0579e4724081f
Women's Bantamweight,Jéssica Andrade,Larissa Pacheco,Submission (guillotine choke),1.0,273.0,Main card,UFC Fight Night: Bigfoot vs. Arlovski,b9c819d2ffa6d33b866c579a42f3581c160644ef7ba5f9836a5975ffd14e185e
Lightweight,James Vick,Valmir Lazaro,"Decision (unanimous) (29–28, 30–27, 29–28)",3.0,300.0,Main card,UFC Fight Night: Henderson vs. dos Anjos,a4600b4385378825794e7ed44eec87896c8ffe9ef2ef4fdfa0a676b4b59cec1c
Featherweight,Frankie Edgar,B.J. Penn,TKO (punches),3.0,256.0,Main card,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,f9489b12262addcbf482440a4e394beaf8cb7fa0c73421a3482f85581a06a61f
Welterweight,Héctor Lombard,Josh Burkman,No Contest (overturned),3.0,300.0,Main card,UFC 182: Jones vs. Cormier,b569c5290e6232b82a73e53951346640c61356bd0360406483598cc763732952
Featherweight,Clay Collard,Alex White,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary Card (UFC Fight Pass),UFC 181: Hendricks vs. Lawler II,51245e97b4bbee8a230aece69e84e4694aaf9a08e9e96740beea8e1e50ea4d83
Lightweight,Benson Henderson,Rustam Khabilov,Submission (rear-naked choke),4.0,76.0,Main card,UFC Fight Night: Henderson vs. Khabilov,966680fb8a8834c9f776d13f554b80a519cf31f0d1b47d55e86ca3fcfbca1de4
Bantamweight,Pedro Munhoz,Jerrod Sanders,No Contest (overturned),1.0,39.0,Preliminary card (UFC Fight Pass),UFC Fight Night: MacDonald vs. Saffiedine,5f12a76ed2214b2a88d6e157c42751360d2a47dd2272dc76ee8affd5d52db48e
Bantamweight,Ian Entwistle,Anthony Birchak,Submission (heel hook),1.0,64.0,Preliminary Card (UFC Fight Pass),UFC on Fox: dos Santos vs. Miocic,2bb592e132a7ef891b3cc86ee0c24b212c9d42d5beab37816002b7bc2b0769b6
Heavyweight,Fabrício Werdum,Mark Hunt,TKO (flying knee and punches),2.0,147.0,Main card,UFC 180: Werdum vs. Hunt,d8367ad34bbf5db6ea4e87c535efdc5e4b119e1288f7221c921372e2cd33f4cd
Featherweight,Cub Swanson,Jeremy Stephens,"Decision (unanimous) (49–46, 49–46, 48–47)",5.0,300.0,Main card,UFC Fight Night: Swanson vs. Stephens,e11abc132f1ff95baf23fabd37a6fcc6472ecf41ad5fe7988f4d8e1b82080e82
Light Heavyweight,Jon Jones (c),Daniel Cormier,"Decision (unanimous) (49–46, 49–46, 49–46)",5.0,300.0,Main card,UFC 182: Jones vs. Cormier,b569c5290e6232b82a73e53951346640c61356bd0360406483598cc763732952
Welterweight,Neil Magny,Alex Garcia,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,300.0,Preliminary card (Fox Sports 2),UFC Fight Night: Henderson vs. dos Anjos,a4600b4385378825794e7ed44eec87896c8ffe9ef2ef4fdfa0a676b4b59cec1c
Lightweight,Paul Felder,Danny Castillo,KO (spinning back fist),2.0,129.0,Preliminary Card (Fox Sports 1),UFC 182: Jones vs. Cormier,b569c5290e6232b82a73e53951346640c61356bd0360406483598cc763732952
Heavyweight,Travis Browne,Brendan Schaub,TKO (punches),1.0,290.0,Main card,UFC 181: Hendricks vs. Lawler II,51245e97b4bbee8a230aece69e84e4694aaf9a08e9e96740beea8e1e50ea4d83
Light Heavyweight,Ilir Latifi,Chris Dempsey,TKO (punches),1.0,127.0,Preliminary card (UFC Fight Pass),UFC Fight Night: McGregor vs. Brandão,3a46c4543511abab752fcfd9e25e5a744d7c06c34b4242077bb43a88e358724a
Lightweight,Kevin Lee,Jesse Ronson,"Decision (split) (29-28, 28–29, 30–27)",3.0,300.0,Preliminary card (Fox Sports 1),The Ultimate Fighter: Team Edgar vs. Team Penn Finale,f9489b12262addcbf482440a4e394beaf8cb7fa0c73421a3482f85581a06a61f
Middleweight,C.B. Dollaway,Francis Carmont,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Main card,UFC Fight Night: Muñoz vs. Mousasi,2cc542048990eab47c2fa9a3ec9832af229c05a4e733737379f1fe607b19c9a4
Lightweight,Evan Dunham,Rodrigo Damm,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary Card (Fox Sports 1),UFC 182: Jones vs. Cormier,b569c5290e6232b82a73e53951346640c61356bd0360406483598cc763732952
Heavyweight,Matt Mitrione,Derrick Lewis,KO (punches),1.0,41.0,Main card,UFC Fight Night: Jacaré vs. Mousasi,19092e9644090b09bdb04e5734d6d354fdc2acbbb08fc90ea74f3d88920e12cd
Featherweight,Noad Lahat,Steven Siler,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (UFC Fight Pass),UFC on Fox: Lawler vs. Brown,04ce543b2c48fb806c75f2ba834b4fe19b04325abe1229f416e7daa5a676f081
Middleweight,Gegard Mousasi,Mark Muñoz,Submission (rear-naked choke),1.0,237.0,Main card,UFC Fight Night: Muñoz vs. Mousasi,2cc542048990eab47c2fa9a3ec9832af229c05a4e733737379f1fe607b19c9a4
Middleweight,Ed Herman,Rafael Natal,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Preliminary card (Fox Sports 2),UFC Fight Night: Brown vs. Silva,d7f0dfddfaa857feb91e0c8600dce56921ef9618b9a41aa209815dff19188de6
Catchweight (138 lb),Marion Reneau,Alexis Dufresne,"Decision (unanimous) (30–26, 30–26, 30–25)",3.0,300.0,Preliminary Card (UFC Fight Pass),UFC 182: Jones vs. Cormier,b569c5290e6232b82a73e53951346640c61356bd0360406483598cc763732952
Welterweight,Yoshihiro Akiyama,Amir Sadollah,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Hunt vs. Nelson,558a5028735da906cafe53fe570390a0f8cbdf3df16570a8a9fee39b1fe2fa47
Middleweight,Michael Bisping,Cung Le,TKO (knee and punches),4.0,57.0,Main card,UFC Fight Night: Bisping vs. Le,bb13ecfbd51062511b3b18b6ba41d79d6809fec3661209138088127404091547
Middleweight,Lyoto Machida,C. B. Dollaway,TKO (body kick and punches),1.0,62.0,Main card,UFC Fight Night: Machida vs. Dollaway,2333db6a495b21d89bbddb380179504a3148f0ba65c6e8b3a9788159159c03af
Light Heavyweight,Ovince Saint Preux,Maurício Rua,KO (punches),1.0,34.0,Main card,UFC Fight Night: Shogun vs. Saint Preux,a42881cb85397d8d0421c9808bcba7a5cb7fe14acc57c3ac5d2ef7e776dad406
Middleweight,Thales Leites,Francis Carmont,KO (punches),2.0,20.0,Main card,UFC Fight Night: Henderson vs. dos Anjos,a4600b4385378825794e7ed44eec87896c8ffe9ef2ef4fdfa0a676b4b59cec1c
Bantamweight,Henry Briones,Guido Cannetti,Submission (rear-naked choke),2.0,104.0,Preliminary card (UFC Fight Pass),UFC 180: Werdum vs. Hunt,d8367ad34bbf5db6ea4e87c535efdc5e4b119e1288f7221c921372e2cd33f4cd
Middleweight,Luke Rockhold,Michael Bisping,Submission (guillotine choke),2.0,57.0,Main card,UFC Fight Night: Rockhold vs. Bisping,e4120182ec817d97b47fa24a8a9d73662d5c6b972ba902925d129bd9f22fc778
Bantamweight,Mitch Gagnon,Roman Salazar,Submission (rear-naked choke),1.0,126.0,Main card,UFC Fight Night: MacDonald vs. Saffiedine,5f12a76ed2214b2a88d6e157c42751360d2a47dd2272dc76ee8affd5d52db48e
Flyweight,Jussier Formiga,Zach Makovsky,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (Fox Sports 2),UFC Fight Night: Bader vs. Saint Preux,0d5c9e3cb27ca896c4cb65ef67c842b2b0e6fe1e33e295d1bda9c5739f5c7388
Bantamweight,Rob Font,George Roop,KO (punch),1.0,139.0,Preliminary card (Fox Sports 1),UFC 175: Weidman vs. Machida,7fd07f010b18aa8dfa324a27b2c025fed7206fd33ade66e9e01c1b154573fc6a
Welterweight,Chris Clements,Vik Grujic,TKO (punches),1.0,186.0,Preliminary card (UFC Fight Pass),UFC Fight Night: Rockhold vs. Bisping,e4120182ec817d97b47fa24a8a9d73662d5c6b972ba902925d129bd9f22fc778
Middleweight,Caio Magalhães,Trevor Smith,KO (knee and punches),1.0,31.0,Preliminary card (Fox Sports 2),UFC Fight Night: Shogun vs. Saint Preux,a42881cb85397d8d0421c9808bcba7a5cb7fe14acc57c3ac5d2ef7e776dad406
Lightweight,Mitch Clarke,Al Iaquinta,Technical Submission (D'Arce choke),2.0,57.0,Preliminary card (Fox Sports 1),UFC 173: Barão vs. Dillashaw,f4198edd700729c27709991dfbf92367b85568a6a5874fc40c0ba9bac98f5209
Welterweight,Robbie Lawler,Johny Hendricks (c),"Decision (split) (48–47, 47–48, 49–46)",5.0,300.0,Main card,UFC 181: Hendricks vs. Lawler II,51245e97b4bbee8a230aece69e84e4694aaf9a08e9e96740beea8e1e50ea4d83
Light Heavyweight,Nikita Krylov,Cody Donovan,TKO (punches),1.0,297.0,Preliminary card (UFC Fight Pass),UFC Fight Night: McGregor vs. Brandão,3a46c4543511abab752fcfd9e25e5a744d7c06c34b4242077bb43a88e358724a
Flyweight,Chris Cariaso,Louis Smolka,"Decision (split) (28–29, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Brown vs. Silva,d7f0dfddfaa857feb91e0c8600dce56921ef9618b9a41aa209815dff19188de6
Light Heavyweight,Marcos Rogério de Lima,Igor Pokrajac,TKO (punches),1.0,119.0,Preliminary Card (Fox Sports 1),UFC Fight Night: Machida vs. Dollaway,2333db6a495b21d89bbddb380179504a3148f0ba65c6e8b3a9788159159c03af
Lightweight,Ross Pearson,Gray Maynard,TKO (punches),2.0,95.0,Main card,UFC Fight Night: Bader vs. Saint Preux,0d5c9e3cb27ca896c4cb65ef67c842b2b0e6fe1e33e295d1bda9c5739f5c7388
Lightweight,Bobby Green,Josh Thomson,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Main card,UFC on Fox: Lawler vs. Brown,04ce543b2c48fb806c75f2ba834b4fe19b04325abe1229f416e7daa5a676f081
Flyweight,Joseph Benavidez,Tim Elliott,Submission (guillotine choke),1.0,248.0,Preliminary card (Fox Sports 1),UFC 172: Jones vs. Teixeira,006318d7a2f82ea8c94da2a9a16f52237367495d7dfc1c347eb50cc7a7b6449b
Women's Strawweight,Juliana Lima,Nina Ansaroff,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Shogun vs. Saint Preux,a42881cb85397d8d0421c9808bcba7a5cb7fe14acc57c3ac5d2ef7e776dad406
Lightweight,Joe Ellenberger,James Moontasri,"Decision (split) (28–29, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Swanson vs. Stephens,e11abc132f1ff95baf23fabd37a6fcc6472ecf41ad5fe7988f4d8e1b82080e82
Heavyweight,Roy Nelson,Antônio Rodrigo Nogueira,KO (punch),1.0,217.0,Main card,UFC Fight Night: Nogueira vs. Nelson,b8aedd2e4cc76cbafb3461812fdb849181875a9b3b0b560a466db9b9c7689f12
Lightweight,Danny Castillo,Charlie Brenneman,KO (punch),2.0,21.0,Preliminary card (Fox Sports 1),UFC 172: Jones vs. Teixeira,006318d7a2f82ea8c94da2a9a16f52237367495d7dfc1c347eb50cc7a7b6449b
Flyweight,Louis Smolka,Richie Vaculik,TKO (side kick and punches),3.0,18.0,Preliminary card (UFC Fight Pass),UFC Fight Night: Rockhold vs. Bisping,e4120182ec817d97b47fa24a8a9d73662d5c6b972ba902925d129bd9f22fc778
Featherweight,José Aldo (c),Chad Mendes,"Decision (unanimous) (49–46, 49–46, 49–46)",5.0,300.0,Main card,UFC 179: Aldo vs. Mendes 2,d16b88d8241645510106e8b9e3f6e32aa7c3c71e00d54d1216e0579e4724081f
Bantamweight,Yves Jabouin,Mike Easton,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (FX),UFC 174: Johnson vs. Bagautinov,339945df3d762652930a3bff67121673a036df3e63410826582f78d8a65b77c9
Middleweight,Clint Hester,Antônio Braga Neto,"Decision (split) (28–29, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Swanson vs. Stephens,e11abc132f1ff95baf23fabd37a6fcc6472ecf41ad5fe7988f4d8e1b82080e82
Lightweight,Zhang Lipeng,Brendan O'Reilly,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Bisping vs. Le,bb13ecfbd51062511b3b18b6ba41d79d6809fec3661209138088127404091547
Middleweight,Krzysztof Jotko,Tor Troéng,"Decision (unanimous) (30–27, 30–26, 30–27)",3.0,300.0,Preliminary card (UFC Fight Pass),UFC Fight Night: Nelson vs. Story,ae43463a16d944844255b7f8402d8de64d5623c27532dfb4548cd68721059eb0
Bantamweight,Leandro Issa,Ulka Sasaki,Submission (rear-naked choke),2.0,253.0,Preliminary Card (Fox Sports 1),UFC Fight Night: Machida vs. Dollaway,2333db6a495b21d89bbddb380179504a3148f0ba65c6e8b3a9788159159c03af
Heavyweight,Todd Duffee,Anthony Hamilton,KO (punch),1.0,33.0,Main card,UFC 181: Hendricks vs. Lawler II,51245e97b4bbee8a230aece69e84e4694aaf9a08e9e96740beea8e1e50ea4d83
Lightweight,Rafael dos Anjos,Benson Henderson,KO (punch),1.0,151.0,Main card,UFC Fight Night: Henderson vs. dos Anjos,a4600b4385378825794e7ed44eec87896c8ffe9ef2ef4fdfa0a676b4b59cec1c
Bantamweight,Matt Hobar,Aaron Phillips,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (Fox Sports 2),UFC Fight Night: Henderson vs. dos Anjos,a4600b4385378825794e7ed44eec87896c8ffe9ef2ef4fdfa0a676b4b59cec1c
Bantamweight,Chris Holdsworth,Chico Camus,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (Fox Sports 1),UFC 173: Barão vs. Dillashaw,f4198edd700729c27709991dfbf92367b85568a6a5874fc40c0ba9bac98f5209
Middleweight,C. B. Dollaway,Cezar Ferreira,TKO (punches),1.0,39.0,Main card,UFC Fight Night: Shogun vs. Henderson 2,c7e811f1527b8adfbc9318fb7e7e11f5b52247c44348eacb44899c486274ef43
Welterweight,Omari Akhmedov,Mats Nilsson,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary Card (UFC Fight Pass),UFC 182: Jones vs. Cormier,b569c5290e6232b82a73e53951346640c61356bd0360406483598cc763732952
Light Heavyweight,Jan Błachowicz,Ilir Latifi,TKO (body kick and punches),1.0,118.0,Main card,UFC Fight Night: Nelson vs. Story,ae43463a16d944844255b7f8402d8de64d5623c27532dfb4548cd68721059eb0
Welterweight,Ben Saunders,Joe Riggs,Submission (neck injury),1.0,57.0,Preliminary Card (Fox Sports 1),UFC on Fox: dos Santos vs. Miocic,2bb592e132a7ef891b3cc86ee0c24b212c9d42d5beab37816002b7bc2b0769b6
Welterweight,Augusto Montaño,Chris Heatherly,TKO (knees),1.0,290.0,Main card,UFC 180: Werdum vs. Hunt,d8367ad34bbf5db6ea4e87c535efdc5e4b119e1288f7221c921372e2cd33f4cd
Heavyweight,Marcos Rogério de Lima,Richardson Moreira,KO (punches),1.0,20.0,Preliminary card (UFC Fight Pass),The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,1428484c21a3ceee363548dce2f2dd8c2cc2fee6dc91d056ce7685a4434a3cf0
Bantamweight,Michinori Tanaka,Roland Delorme,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (UFC Fight Pass),UFC 174: Johnson vs. Bagautinov,339945df3d762652930a3bff67121673a036df3e63410826582f78d8a65b77c9
Heavyweight,Antônio Carlos Júnior,Vitor Miranda,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Main card,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,1428484c21a3ceee363548dce2f2dd8c2cc2fee6dc91d056ce7685a4434a3cf0
Welterweight,Demian Maia,Alexander Yakovlev,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,1428484c21a3ceee363548dce2f2dd8c2cc2fee6dc91d056ce7685a4434a3cf0
Welterweight,Kenny Robertson,Thiago Perpétuo,Submission (rear-naked choke),1.0,105.0,Preliminary card (Fox Sports 1),UFC Fight Night: Shogun vs. Henderson 2,c7e811f1527b8adfbc9318fb7e7e11f5b52247c44348eacb44899c486274ef43
