weight_class,winner,loser,method,round,time,fight_card,event_name,event_id
Women's Strawweight,Marina Rodriguez,Jessica Aguilar,"Decision (unanimous) (29–26, 29–27, 29–27)",3.0,300.0,Preliminary Card (ESPN),UFC on ESPN: Barboza vs. Gaethje,be40eb5efdf02fe579d96bd561723ba5bf832f0444c6b5935ed7cd6acde16d45
Bantamweight,Hunter Azure,Brad Katona,"Decision (unanimous) (29–28, 30–27, 29–28)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Cowboy vs. Gaethje,1b9a955ca2d876e89cce5f4e66880eecae688c7da9a54217ed2484f39c5c5da1
Women's Strawweight,Zhang Weili,Jéssica Andrade (c),TKO (knees and punches),1.0,42.0,Main card,UFC Fight Night: Andrade vs. Zhang,870cfca95b7caa9d62449c945c752e8eb76575e27411a9b3cfac142b185fd5b2
Light Heavyweight,Aleksandar Rakić,Jimi Manuwa,KO (head kick),1.0,42.0,Main card,UFC Fight Night: Gustafsson vs. Smith,cf6ce14dcd6c478427b0b8d05a56862c0fec8a1c489cde8678b8be17273904d3
Lightweight,Alexander Hernandez,Francisco Trinaldo,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Main card,UFC on ESPN: dos Anjos vs. Edwards,dfe21c292dc9a0ac66f60e051e4ad82a00b52ab943f87c617c9a24f39b5e598e
Women's Bantamweight,Aspen Ladd,Sijara Eubanks,"Decision (unanimous) (30–26, 29–27, 29–28)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: dos Anjos vs. Lee,c99dd52d9fe27f87fb32666444f51be0ee14d34dc389526265353ca150b34902
Flyweight,Kai Kara-France,Mark De La Rosa,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Main card,UFC Fight Night: Andrade vs. Zhang,870cfca95b7caa9d62449c945c752e8eb76575e27411a9b3cfac142b185fd5b2
Light Heavyweight,Da Un Jung,Khadis Ibragimov,Submission (standing guillotine choke),3.0,120.0,Preliminary Card (ESPN),UFC Fight Night: Andrade vs. Zhang,870cfca95b7caa9d62449c945c752e8eb76575e27411a9b3cfac142b185fd5b2
Lightweight,Clay Guida,B.J. Penn,"Decision (unanimous) (29–28, 29–28, 29–27)",3.0,300.0,Preliminary card (ESPN),UFC 237: Namajunas vs. Andrade,b018c3af42aa45ad7b50a25e6347ea532df5f6dc2685797b4533aa3b5a9bab0b
Bantamweight,Petr Yan,Jimmie Rivera,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,300.0,Main card,UFC 238: Cejudo vs. Moraes,1c62d13cf60b51d5ab87051974fad442fe39263890ec9bf53b2c239a95decfd7
Featherweight,Bryce Mitchell,Bobby Moffett,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Thompson vs. Pettis,bd2f88eb34f9016bcd103c01263a64c40138c2d25723276607283a0f92612bd1
Bantamweight,Petr Yan,John Dodson,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Błachowicz vs. Santos,f0d9ba0b189e916c29672ab59b2818940b2d762b11e8e4c362c03ae318bede02
Heavyweight,Sergei Pavlovich,Marcelo Golm,KO (punches),1.0,66.0,Main card,UFC Fight Night: Overeem vs. Oleinik,982ab3b0bc592b354b4243d601333817046237a05d2260dcdad8385c463329f7
Bantamweight,Matt Schnell,Louis Smolka,Submission (triangle choke),1.0,198.0,Preliminary Card (ESPN+),UFC Fight Night: Lewis vs. dos Santos,2d8aba87ebe03c7f511f287a9202de5a35d8bd362a5fe13541372c24c2584462
Middleweight,Eryk Anders,Gerald Meerschaert,"Decision (split) (28–29, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Joanna vs. Waterson,17d2caa867a8d0155033026cb9ffb8c17db1726e7c7687cff1ea3567bfce30ec
Bantamweight,José Alberto Quiñónez,Carlos Huachin,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Rodríguez vs. Stephens,2f42742cdbadbe2addd8d9122b5e6358bcaaf730ca8542c27dc81986a2426b0f
Bantamweight,Su Mudaerji,Andre Soukhamthath,"Decision (unanimous) (30–26, 30–26, 30–25)",3.0,300.0,Preliminary Card (ESPN),UFC Fight Night: Andrade vs. Zhang,870cfca95b7caa9d62449c945c752e8eb76575e27411a9b3cfac142b185fd5b2
Middleweight,Rodolfo Vieira,Oskar Piechota,Submission (arm-triangle choke),2.0,266.0,Main card,UFC Fight Night: Shevchenko vs. Carmouche 2,192f765d672aff403f202964ae2e3eb5cd0b88a158ded5006d4c461339021ad4
Catchweight (176 lb),Cláudio Silva,Cole Williams,Submission (rear-naked choke),1.0,155.0,Preliminary Card (ESPN),UFC on ESPN: Covington vs. Lawler,6679de4b29263757f3fcb1207000fda521182363589e0baad4645e2cdceb7897
Middleweight,Zak Cummings,Trevin Giles,Submission (guillotine choke),3.0,241.0,Preliminary Card (ESPN+),UFC Fight Night: dos Anjos vs. Lee,c99dd52d9fe27f87fb32666444f51be0ee14d34dc389526265353ca150b34902
Bantamweight,Pedro Munhoz,Cody Garbrandt,KO (punches),1.0,291.0,Main card,UFC 235: Jones vs. Smith,201c68643d6022df407cd57f22ddff19e4d7e8d15deb9541983576995394c8f8
Light Heavyweight,Johnny Walker,Misha Cirkunov,TKO (flying knee and punches),1.0,36.0,Preliminary Card (ESPN),UFC 235: Jones vs. Smith,201c68643d6022df407cd57f22ddff19e4d7e8d15deb9541983576995394c8f8
Women's Flyweight,Veronica Macedo,Polyana Viana,Submission (armbar),1.0,69.0,Preliminary card (ESPN+),UFC Fight Night: Shevchenko vs. Carmouche 2,192f765d672aff403f202964ae2e3eb5cd0b88a158ded5006d4c461339021ad4
Featherweight,Chas Skelly,Jordan Griffin,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Cowboy vs. Gaethje,1b9a955ca2d876e89cce5f4e66880eecae688c7da9a54217ed2484f39c5c5da1
Women's Bantamweight,Germaine de Randamie,Aspen Ladd,TKO (punch),1.0,16.0,Main card,UFC Fight Night: de Randamie vs. Ladd,6e1885b8b1e47fad24888eda40decbd73f27cd002386a2338316c558a617ec90
Welterweight,Dwight Grant,Alan Jouban,"Decision (split) (29–28, 27–30, 29–28)",3.0,300.0,Main card,UFC 236: Holloway vs. Poirier 2,236afafd5d36e9b16f7a76b682b8c4785040c76f3dfbfe6b04b081ec72ba7739
Welterweight,Vicente Luque,Bryan Barberena,TKO (knees and punches),3.0,294.0,Main card,UFC on ESPN: Ngannou vs. Velasquez,c047265a333eb518b073450c2437ac8102413f9aeb3bdd3c819a5dd76b8f31e5
Featherweight,Alex Caceres,Steven Peterson,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN),UFC on ESPN: dos Anjos vs. Edwards,dfe21c292dc9a0ac66f60e051e4ad82a00b52ab943f87c617c9a24f39b5e598e
Welterweight,Nordine Taleb,Kyle Prepolec,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Iaquinta vs. Cowboy,8b7443c7c5e2f2f1edf0c2be3695c33099f0315ab4184ec26d858ba58d355a5b
Catchweight (157 lb),Carlos Diego Ferreira,Rustam Khabilov,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Preliminary Card (ESPN2),UFC Fight Night: Błachowicz vs. Santos,f0d9ba0b189e916c29672ab59b2818940b2d762b11e8e4c362c03ae318bede02
Women's Flyweight,Valentina Shevchenko (c),Liz Carmouche,"Decision (unanimous) (50–45, 50–45, 50–45)",5.0,300.0,Main card,UFC Fight Night: Shevchenko vs. Carmouche 2,192f765d672aff403f202964ae2e3eb5cd0b88a158ded5006d4c461339021ad4
Featherweight,Yair Rodríguez,Jeremy Stephens,No Contest (accidental eye poke),1.0,15.0,Main card,UFC Fight Night: Rodríguez vs. Stephens,2f42742cdbadbe2addd8d9122b5e6358bcaaf730ca8542c27dc81986a2426b0f
Featherweight,Gavin Tucker,Seung Woo Choi,Submission (rear-naked choke),3.0,197.0,Preliminary card (ESPN),UFC 240: Holloway vs. Edgar,50d1b20336f0640b60d4b0a3d2bd1faf49367dbc13a691d46f2c7783dfe8b438
Heavyweight,Derrick Lewis,Blagoy Ivanov,"Decision (split) (30–27, 28–29, 29–28)",3.0,300.0,Main card,UFC 244: Masvidal vs. Diaz,f36f6335f8641db3fc3b662731a76ea455c1ec1f3732c0f221e1d8c636cd135a
Featherweight,Alexander Volkanovski,José Aldo,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC 237: Namajunas vs. Andrade,b018c3af42aa45ad7b50a25e6347ea532df5f6dc2685797b4533aa3b5a9bab0b
Catchweight (188.5 lb),Darren Stewart,Deron Winn,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Main card,UFC on ESPN: Reyes vs. Weidman,36e159739f48ddb57ebb13ab3e58c5ace2b6a5bb72da7aec3e5a25c716863e80
Featherweight,Hakeem Dawodu,Yoshinori Horie,TKO (head kick),3.0,249.0,Preliminary card (ESPN),UFC 240: Holloway vs. Edgar,50d1b20336f0640b60d4b0a3d2bd1faf49367dbc13a691d46f2c7783dfe8b438
Bantamweight,Song Yadong,Alejandro Pérez,KO (punch),1.0,124.0,Preliminary card (ESPN),UFC 239: Jones vs. Santos,bbddbc0a0aa23116db444d679f7f475649cc39aef7557fe471d39cfe692df5a4
Welterweight,Rafael dos Anjos,Kevin Lee,Submission (arm-triangle choke),4.0,227.0,Main card,UFC Fight Night: dos Anjos vs. Lee,c99dd52d9fe27f87fb32666444f51be0ee14d34dc389526265353ca150b34902
Bantamweight,Cole Smith,Mitch Gagnon,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Iaquinta vs. Cowboy,8b7443c7c5e2f2f1edf0c2be3695c33099f0315ab4184ec26d858ba58d355a5b
Lightweight,Charles Oliveira,David Teymur,Submission (anaconda choke),2.0,55.0,Main card,UFC Fight Night: Assunção vs. Moraes 2,b7568a74c6c1aefb948a5e7541305e4f802a0d5fec99c6e68b5d2b9ac1059756
Featherweight,Steven Peterson,Martin Bravo,KO (spinning backfist),2.0,91.0,Main card,UFC Fight Night: Rodríguez vs. Stephens,2f42742cdbadbe2addd8d9122b5e6358bcaaf730ca8542c27dc81986a2426b0f
Heavyweight,Stipe Miocic,Daniel Cormier (c),TKO (punches),4.0,249.0,Main card,UFC 241: Cormier vs. Miocic 2,ebde1410b4ad7e17c42ac0c342bf2ad47f1312ad6d5f54e1bf11d7ae9d562fb7
Light Heavyweight,Michał Oleksiejczuk,Gadzhimurad Antigulov,KO (punches),1.0,44.0,Preliminary Card (ESPN2),UFC Fight Night: Overeem vs. Oleinik,982ab3b0bc592b354b4243d601333817046237a05d2260dcdad8385c463329f7
Bantamweight,Marlon Vera,Frankie Saenz,TKO (punches),1.0,85.0,Preliminary Card (ESPN+),UFC Fight Night: Thompson vs. Pettis,bd2f88eb34f9016bcd103c01263a64c40138c2d25723276607283a0f92612bd1
Catchweight (137 lb),Khalid Taha,Bruno Gustavo da Silva,No Contest (overturned),3.0,180.0,Early Preliminary Card (UFC Fight Pass),UFC 243: Whittaker vs. Adesanya,74f3626bae38ea8df9c64978263085fc5a2535d366f16718187678713d74d7fc
Women's Flyweight,Jennifer Maia,Alexis Davis,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Thompson vs. Pettis,bd2f88eb34f9016bcd103c01263a64c40138c2d25723276607283a0f92612bd1
Women's Flyweight,Luana Carolina,Priscila Cachoeira,"Decision (unanimous) (30–26, 30–26, 29–27)",3.0,300.0,Early Preliminary card (UFC Fight Pass),UFC 237: Namajunas vs. Andrade,b018c3af42aa45ad7b50a25e6347ea532df5f6dc2685797b4533aa3b5a9bab0b
Women's Strawweight,Zhang Weili,Tecia Torres,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,300.0,Main card,UFC 235: Jones vs. Smith,201c68643d6022df407cd57f22ddff19e4d7e8d15deb9541983576995394c8f8
Welterweight,Ismail Naurdiev,Michel Prazeres,"Decision (unanimous) (30–26, 30–27, 30–27)",3.0,300.0,Preliminary Card (ESPN2),UFC Fight Night: Błachowicz vs. Santos,f0d9ba0b189e916c29672ab59b2818940b2d762b11e8e4c362c03ae318bede02
Bantamweight,Jack Shore,Nohelin Hernandez,Submission (rear-naked choke),3.0,171.0,Preliminary Card (ESPN+),UFC Fight Night: Hermansson vs. Cannonier,42f28817bc5e4b1494f2dc5e14fd97232627e26736584d37a3bd373bf5b78a73
Lightweight,Dustin Poirier,Max Holloway,"Decision (unanimous) (49–46, 49–46, 49–46)",5.0,300.0,Main card,UFC 236: Holloway vs. Poirier 2,236afafd5d36e9b16f7a76b682b8c4785040c76f3dfbfe6b04b081ec72ba7739
Featherweight,Calvin Kattar,Ricardo Lamas,KO (punches),1.0,246.0,Preliminary card (ESPN),UFC 238: Cejudo vs. Moraes,1c62d13cf60b51d5ab87051974fad442fe39263890ec9bf53b2c239a95decfd7
Light Heavyweight,Ryan Spann,Antônio Rogério Nogueira,KO (punches),1.0,127.0,Preliminary card (ESPN),UFC 237: Namajunas vs. Andrade,b018c3af42aa45ad7b50a25e6347ea532df5f6dc2685797b4533aa3b5a9bab0b
Women's Flyweight,Lauren Murphy,Mara Romero Borella,TKO (knee and elbows),3.0,106.0,Preliminary Card (ESPN),UFC on ESPN: Covington vs. Lawler,6679de4b29263757f3fcb1207000fda521182363589e0baad4645e2cdceb7897
Middleweight,Marvin Vettori,Cezar Ferreira,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: de Randamie vs. Ladd,6e1885b8b1e47fad24888eda40decbd73f27cd002386a2338316c558a617ec90
Light Heavyweight,Dalcha Lungiambula,Dequan Townsend,TKO (punches and elbows),3.0,42.0,Preliminary Card (ESPN),UFC on ESPN: Ngannou vs. dos Santos,a88ba875282e7cb35d8ce55c081ad3acfc7a218011e601701023c1420fe70a04
Women's Strawweight,Randa Markos,Angela Hill,Submission (armbar),1.0,264.0,Preliminary Card (ESPN+),UFC Fight Night: Thompson vs. Pettis,bd2f88eb34f9016bcd103c01263a64c40138c2d25723276607283a0f92612bd1
Bantamweight,Ricky Simón,Rani Yahya,"Decision (unanimous) (30–27, 30–27, 30–25)",3.0,300.0,Main card,UFC 234: Adesanya vs. Silva,30c812ea22b00f1c68dea5fd91e2ced1782fc7bfb46b8813f0ddb7185b0bcb41
Light Heavyweight,Corey Anderson,Johnny Walker,TKO (punches),1.0,127.0,Preliminary card (ESPN2),UFC 244: Masvidal vs. Diaz,f36f6335f8641db3fc3b662731a76ea455c1ec1f3732c0f221e1d8c636cd135a
Middleweight,Israel Adesanya (ic),Robert Whittaker (c),KO (punches),2.0,213.0,Main card,UFC 243: Whittaker vs. Adesanya,74f3626bae38ea8df9c64978263085fc5a2535d366f16718187678713d74d7fc
Lightweight,Charles Oliveira,Nik Lentz,TKO (punches),2.0,131.0,Main card,UFC Fight Night: dos Anjos vs. Lee,c99dd52d9fe27f87fb32666444f51be0ee14d34dc389526265353ca150b34902
Women's Bantamweight,Macy Chiasson,Gina Mazany,TKO (punches),1.0,109.0,Early Preliminary Card (UFC Fight Pass),UFC 235: Jones vs. Smith,201c68643d6022df407cd57f22ddff19e4d7e8d15deb9541983576995394c8f8
Catchweight (123 lb),Lívia Renata Souza,Sarah Frota,"Decision (split) (28–29, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Assunção vs. Moraes 2,b7568a74c6c1aefb948a5e7541305e4f802a0d5fec99c6e68b5d2b9ac1059756
Light Heavyweight,Volkan Oezdemir,Ilir Latifi,KO (punches),2.0,271.0,Main card,UFC Fight Night: Shevchenko vs. Carmouche 2,192f765d672aff403f202964ae2e3eb5cd0b88a158ded5006d4c461339021ad4
Lightweight,Dan Hooker,James Vick,KO (punches),1.0,153.0,Main card,UFC on ESPN: dos Anjos vs. Edwards,dfe21c292dc9a0ac66f60e051e4ad82a00b52ab943f87c617c9a24f39b5e598e
Featherweight,Yair Rodríguez,Jeremy Stephens,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Main card,UFC on ESPN: Reyes vs. Weidman,36e159739f48ddb57ebb13ab3e58c5ace2b6a5bb72da7aec3e5a25c716863e80
Catchweight (172 lb),Tristan Connelly,Michel Pereira,"Decision (unanimous) (29–28, 29–27, 29–27)",3.0,300.0,Main card,UFC Fight Night: Cowboy vs. Gaethje,1b9a955ca2d876e89cce5f4e66880eecae688c7da9a54217ed2484f39c5c5da1
Women's Flyweight,Miranda Granger,Hannah Goldy,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary Card (ESPN),UFC on ESPN: Covington vs. Lawler,6679de4b29263757f3fcb1207000fda521182363589e0baad4645e2cdceb7897
Heavyweight,Greg Hardy,Ben Sosoli,No Contest (overturned),3.0,300.0,Main card,UFC on ESPN: Reyes vs. Weidman,36e159739f48ddb57ebb13ab3e58c5ace2b6a5bb72da7aec3e5a25c716863e80
Catchweight (148 lb),Charles Rosa,Manny Bermudez,Verbal Submission (armbar),1.0,166.0,Preliminary Card (ESPN2),UFC on ESPN: Reyes vs. Weidman,36e159739f48ddb57ebb13ab3e58c5ace2b6a5bb72da7aec3e5a25c716863e80
