event_num,event,date,venue,city,state,country,attendance
30,Bellator/Glory: Dynamite 1,2015-09-19,SAP Center,San Jose, California, USA,11000.0
29,Glory 23: Las Vegas,2015-08-03,Hard Rock Hotel and Casino,Las Vegas, Nevada, USA,2200.0
28,Glory 22: Lille,2015-06-05,Stade Pierre-Mauroy,,Lille, France,6500.0
27,Glory 21: San Diego,2015-05-08,Valley View Casino Center,San Diego, California, USA,1500.0
26,Glory 20: Dubai,2015-04-03,Dubai World Trade Centre,,Dubai, UAE,1000.0
25,Glory 19: Virginia,2015-02-06,Hampton Coliseum,Hampton, Virginia, USA,3500.0
24,Glory 18: Oklahoma,2014-11-07,Grand Casino Hotel Resort,Shawnee, Oklahoma, USA,1000.0
23,Glory 17: Los Angeles,2014-06-21,The Forum,Inglewood, California, USA,4000.0
22,Glory 16: Denver,2014-05-03,1stBank Center,Broomfield, Colorado, USA,2350.0
21,Glory 15: Istanbul,2014-04-12,Ülker Sports Arena,,Istanbul, Turkey,11000.0
20,Glory 14: Zagreb,2014-03-08,Arena Zagreb,,Zagreb, Croatia,10000.0
19,Glory 13: Tokyo,2013-12-21,Ariake Coliseum,,Tokyo, Japan,8000.0
18,Glory 12: New York,2013-11-23,The Theater at Madison Square Garden,New York City, New York, USA,4500.0
17,Glory 11: Chicago,2013-10-12,Sears Centre,Hoffman Estates, Illinois, USA,1500.0
16,Glory 10: Los Angeles,2013-09-28,Citizens Business Bank Arena,Ontario, California, USA,
15,Glory 9: New York,2013-06-22,Hammerstein Ballroom,New York City, New York, USA,1950.0
14,2013 Road to Glory USA Heavyweight Tournament,2013-06-14,Hard Rock Hotel and Casino,Tulsa, Oklahoma, USA,
13,2013 Road to Glory USA 70 kg Tournament,2013-05-11,The Rave,Milwaukee, Wisconsin, USA,
12,Glory 8: Tokyo,2013-05-03,Ariake Coliseum,,Tokyo, Japan,3500.0
11,Glory 7: Milan,2013-04-20,Mediolanum Forum,,Milan, Italy,10000.0
10,Glory 6: Istanbul,2013-04-06,Ülker Arena,,Istanbul, Turkey,12000.0
9,Glory 5: London,2013-03-23,ExCeL Arena,,London, England,4500.0
8,Road to Glory USA 77 kg Tournament,2013-03-22,Capitale,New York City, New York, USA,
7,Road to Glory Japan 65 kg Tournament,2013-03-10,Differ Ariake Arena,,Tokyo, Japan,
6,Road to Glory USA 85 kg Tournament,2013-02-09,Hollywood Park Casino,Los Angeles, California, USA,
5,Road to Glory USA 95 kg Tournament,2013-02-02,Hard Rock Hotel and Casino,Tulsa, Oklahoma, USA,
4,Dream 18/Glory 4: Tokyo,2012-12-31,Saitama Super Arena,,Saitama, Japan,15000.0
3,Glory 3: Rome,2012-11-03,PalaLottomatica,,Rome, Italy,6450.0
2,Glory 2: Brussels,2012-10-06,Forest National,,Brussels, Belgium,5250.0
1,Glory 1: Stockholm,2012-05-26,Ericsson Globe,,Stockholm, Sweden,4500.0
