event_details,event_date,event_title,fighter1,fighter2,city,state,country
http://ufcstats.com/event-details/509697e08673d2e5,2021-12-04,UFC Fight Night, Font,Aldo,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/c95fbc085e17a532,2021-11-20,UFC Fight Night, Vieira,Tate,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/b5abaa65f87938eb,2021-11-13,UFC Fight Night, Holloway,Rodriguez,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/48e093ea1f43a053,2021-11-06,UFC 268, Usman,Covington 2,New York City,New York,USA
http://ufcstats.com/event-details/3974fa35c917af1d,2021-10-30,UFC 267, Blachowicz,Teixeira,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/8a9c6c4301f6d088,2021-10-23,UFC Fight Night, Costa,Vettori,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/8f4616698508f24d,2021-10-16,UFC Fight Night, Ladd,Dumont,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/d247691a6c0e9034,2021-10-09,UFC Fight Night, Dern,Rodriguez,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/e15d0a2519d6a0b5,2021-10-02,UFC Fight Night, Santos,Walker,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/0eec866a077889f0,2021-09-25,UFC 266, Volkanovski,Ortega,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/4c27ca8c8481f79a,2021-09-18,UFC Fight Night, Smith,Spann,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/b9532d815060de7f,2021-09-04,UFC Fight Night, Brunson,Till,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/0db9d2486d564a3c,2021-08-28,UFC Fight Night, Barboza,Chikadze,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/2f13e4020cea5b38,2021-08-21,UFC Fight Night, Cannonier,Gastelum,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/972197a8c61ac413,2021-08-07,UFC 265, Lewis,Gane,Houston,Texas,USA
