event_num,event,date,venue,city,state,country,attendance
84,ONE: Heart of the Lion,2018-11-09,Singapore Indoor Stadium,,Kallang, Singapore,
83,ONE: Pursuit of Greatness,2018-10-26,Thuwunna Indoor Stadium,,Yangon, Myanmar,
82,ONE Warrior Series 3,2018-10-11,Big Box,,Jurong, Singapore,
81,ONE: Kingdom of Heroes,2018-10-06,Impact Arena,,Bangkok, Thailand,
80,ONE: Conquest of Heroes,2018-09-22,Jakarta Convention Center,,Jakarta, Indonesia,
79,ONE: Beyond the Horizon,2018-09-08,Baoshan Arena,,Shanghai, China,
78,ONE: Reign of Kings,2018-07-27,SM Mall of Asia Arena,,Pasay, Philippines,
77,ONE Warrior Series 2,2018-07-19,Big Box,,Jurong, Singapore,
76,ONE: Pursuit of Power,2018-07-13,Axiata Arena,,Kuala Lumpur, Malaysia,
75,ONE: Battle for the Heavens,2018-07-07,Tianhe Gymnasium,,Guangzhou, China,
74,ONE: Spirit of a Warrior,2018-06-29,Thuwunna Indoor Stadium,,Yangon, Myanmar,
73,ONE: Pinnacle of Power,2018-06-23,Olympic Sports Center,,Beijing, China,
72,ONE: Unstoppable Dreams,2018-05-18,Singapore Indoor Stadium,,Kallang, Singapore,
71,ONE: Grit and Glory,2018-05-12,Jakarta Convention Center,,Jakarta, Indonesia,
70,ONE: Heroes of Honor,2018-04-20,SM Mall of Asia Arena,,Pasay, Philippines,
69,ONE Warrior Series 1,2018-03-31,Big Box,,Jurong, Singapore,
68,ONE: Iron Will,2018-03-24,Impact Arena,,Bangkok, Thailand,
67,ONE: Visions of Victory,2018-03-09,Axiata Arena,,Kuala Lumpur, Malaysia,
66,ONE: Quest for Gold,2018-02-23,Thuwunna Indoor Stadium,,Yangon, Myanmar,
65,ONE: Global Superheroes,2018-01-26,SM Mall of Asia Arena,,Pasay, Philippines,
64,ONE: Kings of Courage,2018-01-20,Jakarta Convention Center,,Jakarta, Indonesia,
63,ONE: Warriors of the World,2017-12-09,Impact Arena,,Bangkok, Thailand,
62,ONE: Immortal Pursuit,2017-11-24,Singapore Indoor Stadium,,Kallang, Singapore,
61,ONE: Legends of the World,2017-11-10,SM Mall of Asia Arena,,Pasay, Philippines,
60,ONE: Hero's Dream,2017-11-03,Thuwunna Indoor Stadium,,Yangon, Myanmar,
59,ONE: Total Victory,2017-09-16,Jakarta Convention Center,,Jakarta, Indonesia,
58,ONE: Shanghai,2017-09-02,Shanghai Oriental Sports Center,,Shanghai, China,
57,ONE: Quest for Greatness,2017-08-18,Stadium Negara,,Kuala Lumpur, Malaysia,
56,ONE: Kings and Conquerors,2017-08-12,"Cotai Arena, The Venetian Macao",Macau, SAR, China,
55,ONE: Light of a Nation,2017-06-30,Thuwunna Indoor Stadium,,Yangon, Myanmar,
