weight_class,winner,loser,method,round,time,notes,fight_card,event_name,link,weight
Middleweight 85 kg,Jason Wilnis (c),Israel Adesanya,Decision (Unanimous),5,3:00,For the Glory Middleweight Championship,Main card,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Yoann Kongolo,Karim Benmansour,KO (Punches),3,2:57,Welterweight Contender Tournament Final,Main card,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Guto Inocente,D'Angelo Marshall,Decision (Extra Round),4,3:00,,Main card,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Karim Benmansour,Alan Scheinson,Decision (Split),3,3:00,Welterweight Contender Tournament Semi-Finals,Main card,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Yoann Kongolo,Konstantin Khuzin,Decision (Unanimous),3,3:00,Welterweight Contender Tournament Semi-Finals,Main card,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Robin van Roosmalen,Matt Embree,TKO (Punches),4,2:00,,Superfight Series,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Jhonata Diniz,Tomáš Možný,Decision (Unanimous),3,3:00,,Superfight Series,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Warren Thompson,Mike Lemaire,Decision (Unanimous),3,3:00,,Superfight Series,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Women's Super Bantamweight 55 kg,Zoila Frausto,Daniela Graf,Decision (Unanimous),3,3:00,,Superfight Series,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Giga Chikadze,Victor Pinto,KO (Liver Kick),1,2:03,,Superfight Series,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Artem Vakhitov (c),Saulo Cavalari,TKO (Punches),2,2:43,For the Glory Light Heavyweight Championship,Main card,Glory 38: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Ariel Machado,Zinedine Hameur-Lain,TKO (Punches),1,2:43,Light Heavyweight Contender Tournament Final,Main card,Glory 38: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Antoine Pinto,Richard Abraham,Decision (Split),3,3:00,,Main card,Glory 38: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Ariel Machado,Danyo Ilunga,Decision (Unanimous),3,3:00,Light Heavyweight Contender Tournament Semi-Finals,Main card,Glory 38: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Zinedine Hameur-Lain,Brian Collette,KO (Punch),2,2:46,Light Heavyweight Contender Tournament Semi-Finals,Main card,Glory 38: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Benjamin Adegbuyi,Anderson Silva,Decision (Extra Round),4,3:00,,Superfight Series,Glory 38: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Cătălin Moroșanu,Maurice Greene,KO (Punch),2,0:23,,Superfight Series,Glory 38: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Murthel Groenhart,Thongchai,KO (Punches),3,1:45,,Superfight Series,Glory 38: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Daniel Morales,Paweł Jędrzejczyk,Decision (Unanimous),3,3:00,,Superfight Series,Glory 38: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Niclas Larsen,Łukasz Pławecki,Decision (Unanimous),3,3:00,,Superfight Series,Glory 38: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Cedric Doumbe (c),Yoann Kongolo,Decision (Unanimous),5,3:00,For the Glory Welterweight Championship,Main card,Glory 39: Brussels,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Petchpanomrung Kiatmookao,Serhiy Adamchuk,Decision (Split),3,3:00,Featherweight Contender Tournament Final,Main card,Glory 39: Brussels,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Jamal Ben Saddik,Guto Inocente,Decision (Unanimous),3,3:00,,Main card,Glory 39: Brussels,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Serhiy Adamchuk,Nafi Bilalovski,Decision (Unanimous),3,3:00,Featherweight Contender Tournament Semi-Finals,Main card,Glory 39: Brussels,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Petchpanomrung Kiatmookao,Aleksei Ulianov,Decision (Unanimous),3,3:00,Featherweight Contender Tournament Semi-Finals,Main card,Glory 39: Brussels,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Sitthichai Sitsongpeenong (c),Dylan Salvador,TKO (Knee to the Body),4,2:58,For the Glory Lightweight Championship,Superfight Series,Glory 39: Brussels,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Marat Grigorian,Anton Petrov,TKO (Leg Kick),2,1:59,,Superfight Series,Glory 39: Brussels,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Meng Qinghao,Killian Moulun,Decision (Split),3,3:00,,Superfight Series,Glory 39: Brussels,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Harut Grigorian,Pavol Garaj,Decision (Unanimous),3,3:00,,Superfight Series,Glory 39: Brussels,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Tyjani Beztati,Sabri Henia,TKO (3 Knockdowns),2,2:05,,Superfight Series,Glory 39: Brussels,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Simon Marcus,Jason Wilnis (c),Decision (Split),5,3:00,For the Glory Middleweight Championship,Main card,Glory 40: Copenhagen,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Yousri Belgaroui,Alex Pereira,Decision (Unanimous),3,3:00,Middleweight Contender Tournament Final,Main card,Glory 40: Copenhagen,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Niclas Larsen,Yodkhunpon Sitmonchai,Decision (Unanimous),3,3:00,,Main card,Glory 40: Copenhagen,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Alex Pereira,Burim Rama,TKO (3 Knockdowns),3,1:42,Middleweight Contender Tournament Semi-Finals,Main card,Glory 40: Copenhagen,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Yousri Belgaroui,Agron Preteni,Decision (Unanimous),3,3:00,Middleweight Contender Tournament Semi-Finals,Main card,Glory 40: Copenhagen,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Jamie Bates,Richard Abraham,Decision (Unanimous),3,3:00,,Superfight Series,Glory 40: Copenhagen,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Mohammed El-Mir,Simón Santana,Decision (Unanimous),3,3:00,,Superfight Series,Glory 40: Copenhagen,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Freddy Kemayo,Imad Hadar,TKO (Punches),2,2:21,,Superfight Series,Glory 40: Copenhagen,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Josh Jauncey,Antonio Gómez,TKO (Doctor Stoppage),2,1:05,,Superfight Series,Glory 40: Copenhagen,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 66 kg,Yuhang Xie,Chris Mauceri,Decision (Unanimous),3,3:00,,Superfight Series,Glory 40: Copenhagen,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Hesdy Gerges,Tomáš Hron,Decision (Unanimous),3,3:00,,Main card,Glory 41: Holland,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,D'Angelo Marshall,Anderson Silva,Decision (Unanimous),3,3:00,Heavyweight Contender Tournament Final,Main card,Glory 41: Holland,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 66 kg,Chenglong Zhang,Wilson Sanches Mendes,Decision (Unanimous),3,3:00,,Main card,Glory 41: Holland,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,D'Angelo Marshall,Mohamed Abdallah,TKO (2 knockdowns),1,0:48,Heavyweight Contender Tournament Semi-Finals,Main card,Glory 41: Holland,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Anderson Silva,Giannis Stoforidis,TKO (Punches),2,2:24,Heavyweight Contender Tournament Semi-Finals,Main card,Glory 41: Holland,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Rico Verhoeven,Ismael Lazaar,Decision (Unanimous),5,3:00,,Superfight Series,Glory 41: Holland,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Robin van Roosmalen,Petchpanomrung Kiatmookao,Decision (Majority),5,3:00,For the vacant Glory Featherweight Championship,Superfight Series,Glory 41: Holland,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Murthel Groenhart,Alan Scheinson,Decision (Split),3,3:00,,Superfight Series,Glory 41: Holland,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Mourad Bouzidi,Michael Duut,DQ (3 Point Deductions),2,2:18,,Superfight Series,Glory 41: Holland,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Tyjani Beztati,Youssef Assouik,Decision (Unanimous),3,3:00,,Superfight Series,Glory 41: Holland,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Zakaria Zouggary,Yetkin Ozkul,Decision (Unanimous),3,3:00,,Superfight Series,Glory 41: Holland,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Cedric Doumbe (c),Nieky Holzken,Decision (Split),5,3:00,For the Glory Welterweight Championship,Main card,Glory 42: Paris,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Christian Baya,Massaro Glunder,Decision (Split),3,3:00,Lightweight Contender Tournament Final,Main card,Glory 42: Paris,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Murthel Groenhart,Harut Grigorian,KO (Punch),2,0:20,,Main card,Glory 42: Paris,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Massaro Glunder,Niclas Larsen,TKO (2 Knockdowns),1,2:18,Lightweight Contender Tournament Semi-Finals,Main card,Glory 42: Paris,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Christian Baya,Anatoly Moiseev,Decision (Split),3,3:00,Lightweight Contender Tournament Semi-Finals,Main card,Glory 42: Paris,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Yoann Kongolo,Yohan Lidon,Decision (Unanimous),3,3:00,,Superfight Series,Glory 42: Paris,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Nicolas Wamba,Jhonata Diniz,Decision (Unanimous),3,3:00,,Superfight Series,Glory 42: Paris,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Zinedine Hameur-Lain,Freddy Kemayo,KO (Head Kick),1,2:35,,Superfight Series,Glory 42: Paris,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Serhiy Adamchuk,Dylan Salvador,Decision (Unanimous),3,3:00,,Superfight Series,Glory 42: Paris,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 70 kg,Marat Grigorian,Antonio Gómez,KO (Knee to the Body),2,2:02,,Superfight Series,Glory 42: Paris,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Rémy Vectol,Francois Ambang,Decision (Unanimous),3,3:00,,Superfight Series,Glory 42: Paris,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Guto Inocente,Benjamin Adegbuyi,Decision (Split),3,3:00,,Main card,Glory 43: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Kevin VanNostrand,Giga Chikadze,Decision (Unanimous),3,3:00,Featherweight Contender Tournament Final,Main card,Glory 43: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Elvis Gashi,Josh Jauncey,TKO (3 Knockdowns),2,2:59,,Main card,Glory 43: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Kevin VanNostrand,Mo Abdurahman,TKO (2 Knockdowns),1,1:50,Featherweight Contender Tournament Semi-Finals,Main card,Glory 43: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Giga Chikadze,Aleksei Ulianov,Decision (Split),3,3:00,Featherweight Contender Tournament Semi-Finals,Main card,Glory 43: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Pavel Zhuravlev,Saulo Cavalari,Decision (Unanimous),3,3:00,For the Interim Glory Light Heavyweight Championship,Superfight Series,Glory 43: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Bailey Sugden,Arthur Sorsor,Decision (Unanimous),3,3:00,,Superfight Series,Glory 43: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Joe Taylor,Ariel Sepúlveda,TKO (3 Knockdowns),2,2:55,,Superfight Series,Glory 43: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Women's Super Bantamweight 55 kg,Anissa Meksen,Jady Menezes,Decision (Unanimous),3,3:00,,Superfight Series,Glory 43: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Itay Gershon,Rafał Dudek,Decision (Unanimous),3,3:00,,Superfight Series,Glory 43: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Chenchen Li,Terrance Hill,KO (Punch),1,1:45,,Superfight Series,Glory 43: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Murthel Groenhart,Cedric Doumbe (c),Decision (Split),5,3:00,For the Glory Welterweight Championship,Main card,Glory 44: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Harut Grigorian,Antoine Pinto,Decision (Unanimous),3,3:00,Welterweight Contender Tournament Final,Main card,Glory 44: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Richard Abraham,Daniel Morales,Decision (Unanimous),3,3:00,,Main card,Glory 44: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Antoine Pinto,Zach Bunnell,Decision (Unanimous),3,3:00,Welterweight Contender Tournament Semi-Finals,Main card,Glory 44: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Harut Grigorian,Karim Benmansour,Decision (Unanimous),3,3:00,Welterweight Contender Tournament Semi-Finals,Main card,Glory 44: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Women's Super Bantamweight 55 kg,Tiffany van Soest (c),Meryem Uslu,TKO (Punches),4,0:36,For the Glory Women's Super Bantamweight Championship,Superfight Series,Glory 44: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Michał Turyński,Cătălin Moroșanu,Decision (Split),3,3:00,,Superfight Series,Glory 44: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Dustin Jacoby,Sean Choice,TKO (3 Knockdowns),1,2:18,,Superfight Series,Glory 44: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Robert Thomas,Warren Thompson,KO (Punches),3,2:36,,Superfight Series,Glory 44: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Nate Richardson,Rafał Dudek,Decision (Unanimous),3,3:00,,Superfight Series,Glory 44: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Victor Pinto,Adrian Maxim,Decision (Split),3,3:00,,Superfight Series,Glory 44: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Robin van Roosmalen (c),Serhiy Adamchuk,Decision (Unanimous),5,5:00,For the Glory Featherweight Championship,Main card,Glory 45: Amsterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Michael Duut,Manny Mancha,KO (Punch),1,0:12,Light Heavyweight Contender Tournament Final,Main card,Glory 45: Amsterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Mladen Brestovac,Hesdy Gerges,KO (Head Kick),1,0:36,,Main card,Glory 45: Amsterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Manny Mancha,Imad Hadar,TKO (Arm Injury),2,1:22,Light Heavyweight Contender Tournament Semi-Finals,Main card,Glory 45: Amsterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Michael Duut,Dragoș Zubco,KO (Punch),1,0:36,Light Heavyweight Contender Tournament Semi-Finals,Main card,Glory 45: Amsterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Yousri Belgaroui,Jason Wilnis,TKO (Doctor Stopage),1,2:47,,Superfight Series,Glory 45: Amsterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Zakaria Zouggary,Massaro Glunder,Decision (Unanimous),3,3:00,,Superfight Series,Glory 45: Amsterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70,Tyjani Beztati,Yodkhunpon Sitmonchai,Decision (Unanimous),3,3:00,,Superfight Series,Glory 45: Amsterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Eyevan Danenberg,Wellington Uega,TKO (3 Knockdowns),2,1:50,,Superfight Series,Glory 45: Amsterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Kevin Hessling,Stoyan Koprivlenski,Decision (Unanimous),3,3:00,,Superfight Series,Glory 45: Amsterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Alex Pereira,Simon Marcus (c),Decision (Unanimous),5,3:00,For the Glory Middleweight Championship,Main card,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Chenglong Zhang,Masaya Kubo,Decision (Unanimous),3,3:00,Featherweight Qualification Tournament Final,Main card,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Junior Tafa,Quanchao Luo,TKO (3 Knockdowns),1,1:34,,Main card,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Chenglong Zhang,Quade Taranaki,Decision (Unanimous),3,3:00,Featherweight Qualification Tournament Semi-Finals,Main card,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Masaya Kubo,Chenchen Li,KO (Head Kick),1,2:50,Featherweight Qualification Tournament Semi-Finals,Main card,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Rico Verhoeven,Antônio Silva,TKO (Head Kick and Punches),2,0:47,,Superfight Series,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 84 kg,Zhou Wei,Andre Walker,Decision (Unanimous),3,3:00,,Superfight Series,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Catchweight 75 kg,Alan Scheinson,Shanghai Gao,Decision (Majority),3,3:00,,Superfight Series,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Catchweight 60 kg,Hongxing Kong,Yang Sun,KO (Head Kick),1,0:36,Professional Sanda,Superfight Series,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Catchweight 53 kg,Liu Jia,Zaza Sor. Aree,No Contest (Accidental Elbow),2,1:10,,Superfight Series,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Petchpanomrung Kiatmookao,Lei Xie,Decision (Unanimous),3,3:00,,Superfight Series,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Pascal Schroth,Qinghao Meng,Decision (Split),3,3:00,,Superfight Series,Glory 46: China,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Artem Vakhitov (c),Ariel Machado,Decision (Unanimous),5,3:00,For the Glory Light Heavyweight Championship,Main card,Glory 47: Lyon,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Abdellah Ezbiri,Anvar Boynazarov,Decision (Unanimous),3,3:00,Featherweight Contender Tournament Final,Main card,Glory 47: Lyon,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Cedric Doumbe,Yohan Lidon,Decision (Unanimous),3,3:00,,Main card,Glory 47: Lyon,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Abdellah Ezbiri,Azize Hlali,Decision (Unanimous),3,3:00,Featherweight Contender Tournament Semi-Finals,Main card,Glory 47: Lyon,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Anvar Boynazarov,Fabio Pinca,KO (Punch),2,1:50,Featherweight Contender Tournament Semi-Finals,Main card,Glory 47: Lyon,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Dylan Salvador,Massaro Glunder,Decision (Unanimous),3,3:00,,Superfight Series,Glory 47: Lyon,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Abdarhmane Coulibaly,Florent Kaouachi,Decision (Split),3,3:00,,Superfight Series,Glory 47: Lyon,https://en.wikipedia.org//wiki/2017_in_Glory,
Super Bantamweight 55 kg,Anissa Meksen,Funda Alkayis,TKO (Foot Injury),3,0:17,Contender Bout,Superfight Series,Glory 47: Lyon,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 84 kg,Ahaggan Yassine,Maxim Vorovski,Decision (Split),3,3:00,,Superfight Series,Glory 47: Lyon,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Alim Nabiev,Jimmy Vienot,Decision (Split),3,3:00,,Superfight Series,Glory 47: Lyon,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 66 kg,Kevin VanNostrand,Anvar Boynazarov,KO (Knee to the Body),1,1:06,For the Interim Glory Featherweight Championship,Main card,Glory 48: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Robert Thomas,Mike Lemaire,KO (Punch),3,0:18,Middleweight Qualification Tournament Final,Main card,Glory 48: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Thiago Silva,John King,Decision (Unanimous),3,3:00,,Main card,Glory 48: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Robert Thomas,Wayne Barrett,Decision (Unanimous),3,3:00,Middleweight Qualification Tournament Semi-Finals,Main card,Glory 48: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Mike Lemaire,Matt Baker,Decision (Extra Round),4,3:00,Middleweight Qualification Tournament Semi-Finals,Main card,Glory 48: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Women's Super Bantamweight 55 kg,Anissa Meksen,Tiffany van Soest (c),Decision (Unanimous),5,3:00,For the Glory Women's Super Bantamweight Championship,Superfight Series,Glory 48: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 84 kg,Chris Camozzi,Kyle Weickhardt,TKO (Corner Stoppage),2,3:00,,Superfight Series,Glory 48: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Elvis Gashi,Nate Richardson,Decision (Unanimous),3,3:00,,Superfight Series,Glory 48: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 84 kg,Ivan Galaz,Paul Banasiak,Decision (Majority),3,3:00,,Superfight Series,Glory 48: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Itay Gershon,Justin Houghton,Decision (Unanimous),3,3:00,,Superfight Series,Glory 48: New York,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Rico Verhoeven (c),Jamal Ben Saddik,KO (Punches),5,1:10,For the Glory Heavyweight Championship,Main card,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Danyo Ilunga,Michael Duut,KO (Punch),3,2:26,,Main card,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 66 kg,Bailey Sugden,Zhang Chenglong,Decision (Unanimous),3,3:00,,Main card,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 66 kg,Petchpanomrung Kiatmookao,Zakaria Zouggary,KO (Head Kick),3,2:10,Contender Bout,Main card,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Alex Pereira (c),Yousri Belgaroui,TKO (Doctor Stopage),3,1:54,For the Glory Middleweight Championship,Superfight Series,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Alim Nabiev,Nieky Holzken,Decision (Unanimous),3,3:00,,Superfight Series,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,D'Angelo Marshall,Ismael Londt,Decision (Unanimous),3,3:00,,Superfight Series,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Anderson Silva,Brian Douwes,Decision (Unanimous),3,3:00,,Superfight Series,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Eyevan Danenberg,Jamie Bates,Decision (Unanimous),3,3:00,,Superfight Series,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Stoyan Koprivlenski,Tyjani Beztati,Decision (Unanimous),3,3:00,Lightweight Contender Tournament Final,Glory 49: Rotterdam,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Christian Baya,Samo Petje,KO (Punch To the body),1,1:26,,Glory 49: Rotterdam,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Omar Moreno,Anying Wang,Decision (Unanimous),3,3:00,,Glory 49: Rotterdam,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Stoyan Koprivlenski,Maykol Yurk,KO (Head Kick),1,2:47,Lightweight Contender Tournament Semi-Finals,Glory 49: Rotterdam,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Lightweight 70 kg,Tyjani Beztati,Niclas Larsen,Decision (Unanimous),3,3:00,Lightweight Contender Tournament Semi-Finals,Glory 49: Rotterdam,Glory 49: Rotterdam,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Harut Grigorian,Murthel Groenhart (c),TKO (Referee Stoppage),1,2:06,For the Glory Welterweight Championship,Main card,Glory 50: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Benjamin Adegbuyi,Junior Tafa,TKO (Low kicks),2,0:34,Heavyweight Contender Tournament Final,Main card,Glory 50: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Richard Abraham,Malik Watson-Smith,Decision (Unanimous),3,3:00,,Main card,Glory 50: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
