weight_class,winner,loser,method,round,time,notes,fight_card,event_name,link
Catchweight (150 lb),Julio Cesar Neves,Josh Arocho,TKO (elbows),2,2:37,,Preliminary Card (Spike.com),Bellator 117,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Jordan Parsons,Tim Bazer,KO (punches),2,0:04,,Preliminary Card (Spike.com),Bellator 117,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (175 lb),Ryan Jensen,Mark Stoddard,Submission (arm-triangle choke),1,3:52,,Unaired,Bellator 117,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Houston Alexander,Matt Uhde,TKO (doctor stoppage),2,5:00,,Unaired,Bellator 117,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Joe Warren,Rafael Silva,"Decision (unanimous) (48-47, 48-47, 48-47)",5,5:00,[a],Main card,Bellator 118,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Andrey Koreshkov,Justin Baesman,KO (flying knee),1,1:41,[b],Main card,Bellator 118,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Marcos Galvao,Thomas Vasquez,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,,Main card,Bellator 118,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Liam McGeary,Mike Mucitelli,KO (punch),1,0:22,[c],Main card,Bellator 118,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (172 lb),Dante Rivera,Gemiyale Adkins,"Majority decision (29-29, 30-27, 30-27)",3,5:00,,Preliminary Card (Spike.com),Bellator 118,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (187 lb),Jesus Martinez,Ryan Caltaldi,"Decision (unanimous) (30-26, 30-26, 30-26)",3,5:00,,Preliminary Card (Spike.com),Bellator 118,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Tim Woods,Eugene Fadiora,"Decision (unanimous) (29-28, 30-27, 30-27)",3,5:00,,Preliminary Card (Spike.com),Bellator 118,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Darrion Caldwell,Joe Pingitore,Submission (rear-naked choke),1,1:32,,Preliminary Card (Spike.com),Bellator 118,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Lester Caslow,Jay Haas,Submission (guillotine choke),1,2:29,,Preliminary Card (Spike.com),Bellator 118,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Sidney Outlaw,Mike Bannon,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 118,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Kevin Roddy,Amran Aliyev,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 118,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Daniel Weichel,Desmond Green,Submission (rear-naked choke),2,2:07,[a],Main card,Bellator 119,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (160 lb),John Alessio,Eric Wisely,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,,Main card,Bellator 119,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Marius Zaromskis,Vaughn Anderson,"Decision (unanimous) (29-28, 30-27, 30-27)",3,5:00,,Main card,Bellator 119,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Raphael Butler,Nick Rossborough,"Majority Draw (28-27, 28-28, 28-28)",3,5:00,[b],Main card,Bellator 119,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Brian Rogers,Adrian Miles,KO (flying knee),2,1:29,,Preliminary Card (Spike.com),Bellator 119,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (159 lb),Jason Meisel,Remy Bussieres,"Decision (unanimous) (29-28, 30-27, 30-27)",3,5:00,,Preliminary Card (Spike.com),Bellator 119,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (130 lb),Malcolm Gordon,Chris Kelades,"Decision (unanimous) (29-28, 30-27, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 119,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Behrang Yousefi,Chad Freeman,Submission (triangle choke),1,2:47,,Preliminary Card (Spike.com),Bellator 119,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Stuart Austin,Craig Hudson,Submission (rear-naked choke),1,4:56,,Unaired,Bellator 119,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Marlon Sandro,Chris Horodecki,"Decision (unanimous) (29-28, 30-27, 30-27)",3,5:00,,Unaired,Bellator 119,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Quinton Jackson,Muhammed Lawal,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,[a],Main card,Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Will Brooks,Michael Chandler,"Decision (split) (47-48, 48-47, 48-46)",5,5:00,[b],Main card,Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Tito Ortiz,Alexander Shlemenko,Technical submission (arm-triangle choke),1,2:27,,Main card,Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Alexander Volkov,Blagoy Ivanov,Submission (rear-naked choke),2,1:08,[c],Main card,Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Michael Page,Ricky Rainey,TKO (punch),1,4:29,,Main card,Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Cheick Kongo,Eric Smith,TKO (knees & punches),2,4:35,,Preliminary Card (Spike TV),Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (158 lb),Marcin Held,Nate Jolly,Submission (armbar),1,4:20,,Preliminary Card (Spike TV),Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Fabricio Guerreiro,Shahbulat Shamhalaev,Submission (kimura),1,3:29,,Preliminary Card (Spike TV),Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Goiti Yamauchi,Mike Richman,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,,Preliminary Card (Spike TV),Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (153 lb),Austin Lyons,Zach Underwood,"Technical decision (30-27, 29-28, 30-27)",3,3:25,[d],Preliminary Card (Spike.com),Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Mike Wessel,Justin Frazier,TKO (punches),1,4:28,,Preliminary Card (Spike.com),Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Ben Brewer,Andy Uhrich,KO (punches),2,2:40,,Preliminary Card (Spike.com),Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Codie Shuffield,Anthony Lemon,Submission (rear-naked choke),2,2:15,,Unaired,Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Brian Hall,Cortez Phelia,TKO (punches),3,0:24,,Unaired,Bellator 120,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Philipe Lins,James Austen Heidlage,Submission (rear-naked choke),1,2:45,[a],Main card,Bellator 121,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,James Thompson,Eric Prindle,TKO (punches),1,1:55,,Main card,Bellator 121,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Rameau Thierry Sokoudjou,Terry Davinney,Submission (rear-naked choke),1,4:16,,Main card,Bellator 121,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Egidijus Valavicius,Carlos Eduardo,"Decision (split) (29-28, 28-29, 29-28)",3,5:00,[a],Main card,Bellator 121,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Joe Vedepo,Cortez Coleman,"Decision (majority) (28-28, 29-27, 29-27)",3,5:00,[b],Preliminary Card (Spike.com),Bellator 121,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Kelly Anundson,Rodney Wallace,"Decision (unanimous) (29-28, 30-27, 30-27)",3,5:00,[a],Preliminary Card (Spike.com),Bellator 121,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Ray Sloan,Jamelle Jones,Submission (rear-naked choke),1,0:48,,Preliminary Card (Spike.com),Bellator 121,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (190 lb),Bubba McDaniel,Matt Jones,"Decision (unanimous) (30-26, 30-27, 30-27)",3,5:00,,Preliminary Card (Spike.com),Bellator 121,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (140 lb),Steve Garcia,Cody Walker,KO (punch),1,0:39,,Preliminary Card (Spike.com),Bellator 121,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,William Florentino,Guillermo Ayme,"Decision (split) (28-29, 30-27, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 121,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Treston Thomison,Stephen Banaszak,Submission (guillotine choke),1,,,Preliminary Card (Unaired),Bellator 121,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Andrey Koreshkov,Adam McDonough,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,[a],Main card,Bellator 122,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Brandon Halsey,Brett Cooper,Submission (armbar),1,2:09,[b],Main card,Bellator 122,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Liam McGeary,Egidijus Valavicius,TKO (knees and punches),1,2:10,[c],Main card,Bellator 122,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Karo Parisyan,Phil Baroni,TKO (punches),1,2:06,,Main card,Bellator 122,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Augusto Sakai,Matt Frembling,TKO (knee and punches),3,3:32,,Preliminary Card (Spike.com),Bellator 122,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Bubba Jenkins,Poppies Martinez,TKO (punches),1,4:10,,Preliminary Card (Spike.com),Bellator 122,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Kelly Anundson,Philipe Lins,TKO (knee injury),1,1:40,[c],Preliminary Card (Spike.com),Bellator 122,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Fernando Gonzalez,Karl Amoussou,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 122,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Saad Awad,Joe Duarte,TKO (elbows),1,1:18,,Preliminary Card (Spike.com),Bellator 122,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Sergio Rios,Stephen Martinez,TKO (front kick & punches),2,0:20,,Preliminary Card (Spike.com),Bellator 122,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Linton Vassell,Virgil Zwicker,Submission (rear naked choke),1,1:07,,Unaired,Bellator 122,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Patrício Pitbull,Pat Curran (c),"Decision (unanimous) (48-47, 49-46, 49-46)",5,5:00,[a],Main card,Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Muhammed Lawal,Dustin Jacoby,TKO (punches),2,1:13,,Main card,Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Tamdan McCrory,Brennan Ward,KO (punches),1,0:21,,Main card,Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Bobby Lashley,Josh Burns,Submission (rear-naked choke),2,3:54,,Main card,Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Cheick Kongo,Lavar Johnson,Submission (rear-naked choke),1,3:27,,Main card,Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Dan Cramer,Perry Filkins,"Decision (unanimous) (29-28, 30-27, 30-27)",3,5:00,,Preliminary Card (Spike.com),Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Scott Cleve,Matt Bessette,"Decision (unanimous) (30-27, 29-28, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Josh Diekmann,Mike Wessel,KO (punches),1,0:47,,Preliminary Card (Spike.com),Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Steve Garcia,Kin Moy,"Decision (split) (30-27, 29-28, 28-29)",3,5:00,,Preliminary Card (Spike.com),Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Rico Disciullo,Marvin Maldonado,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,,Preliminary Card (Spike.com),Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Mike Mucitelli,Mark Griffin,Submission (armbar),1,0:37,,Unaired,Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Pete Rogers Jr.,Phillipe Martins,KO (punches),1,0:11,,Unaired,Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Blair Tugman,Brandon Fleming,Decision (unanimous),3,5:00,,Unaired,Bellator 123,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Emanuel Newton (c),Joey Beltran,KO (spinning back fist),3,3:07,[a],Main card,Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Liam McGeary,Kelly Anundson,Submission (inverted triangle choke),1,4:47,[b],Main card,Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,L.C. Davis,Zeilton Rodrigues,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,,Main card,Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (159 lb),Ryan Couture,Tom Bagnasco,Submission (rear-naked choke),1,3:01,,Main card,Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Adrian Hadribeaj,Michael Hamida,"Decision (split) (29-28, 28-29, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Sabah Homasi,Eric Moon,Submission (guillotine choke),2,1:07,,Preliminary Card (Spike.com),Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Michael Hernandez,Thomas Vasquez,"Decision (unanimous) (30-27, 29-28, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,LeRoy Johnson,Adrian Henderson,"Decision (split) (28-29, 29-28, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Jason Fischer,Tony Hervey,"Decision (unanimous) (30-26, 30-26, 30-26)",3,5:00,,Preliminary Card (Spike.com),Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Eric Ramirez,Cortez Phelia,Submission (guillotine choke),3,0:38,,Preliminary Card (Spike.com),Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Ben Reiter,Shamir Garcia,Decision (unanimous),3,5:00,,Unaired,Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Justin Jaynes,Ruben Baraiac,TKO (punches),1,4:17,,Unaired,Bellator 124,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Melvin Manhoef,Doug Marshall,KO (punch),1,1:45,,Main card,Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Rafael Carvalho,Brian Rogers,TKO (punches),1,3:06,,Main card,Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Javy Ayala,Raphael Butler,Submission (rear-naked choke),1,1:03,,Main card,Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (148 lb),Goiti Yamauchi,Martin Stapleton,Submission (rear-naked choke),1,4:37,,Main card,Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Joe Neal,Paul Ruiz,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,,Preliminary Card (Spike.com),Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Flyweight,Matt Ramirez,Oscar Ramirez,Submission (armbar),1,0:42,,Preliminary Card (Spike.com),Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Chris Honeycutt,Aaron Wilkinson,TKO (punches),2,4:45,,Preliminary Card (Spike.com),Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Julio Cesar Neves,Poppies Martinez,TKO (punches),1,2:16,,Preliminary Card (Spike.com),Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Jonny Bonilla-Bowman,Art Becerra,"Decision (split) (28-29, 29-28, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Jesse Juarez,Ron Keslar,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,George Zuniga,Granson Clark,TKO (punches),1,0:34,,Preliminary Card (Spike.com),Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Nate James,Anthony Ruiz,Decision (split),3,5:00,,Unaired,Bellator 125,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Brandon Halsey,Alexander Shlemenko (c),Technical submission (rear-naked choke),1,0:35,[a],Main card,Bellator 126,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Marcin Held,Patricky Freire,"Decision (unanimous) (29-28, 30-27, 30-26)",3,5:00,[b],Main card,Bellator 126,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Bubba Jenkins,Thiago Meller,"Decision (unanimous) (29-28, 30-27, 30-27)",3,5:00,,Main card,Bellator 126,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Mike Richman,Ed West,KO (punches),1,2:44,,Main card,Bellator 126,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (160 lb),LaRue Burley,Raymond Pina,Submission (guillotine choke),2,0:22,,Preliminary Card (Spike.com),Bellator 126,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Clifford Starks,Kobe Ortiz,Technical submission (guillotine choke),2,0:52,,Preliminary Card (Spike.com),Bellator 126,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Nick Rossborough,Ryan Martinez,TKO (injury),1,5:00,[c],Preliminary Card (Spike.com),Bellator 126,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Joe Taimanglo,Michael Parker,"Decision (unanimous) (30-26, 30-27, 30-27)",3,5:00,,Preliminary Card (Spike.com),Bellator 126,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Heavyweight,Dan Charles,Stuart Austin,KO (punch),3,0:18,,Preliminary Card (Spike.com),Bellator 126,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Derek Campos,Estevan Payan,KO (punch),1,0:31,,Preliminary Card (Spike.com),Bellator 126,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Brandon Girtz,Benny Madrid,TKO (punches),1,0:57,,Preliminary Card (Spike.com),Bellator 126,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Daniel Mason-Straus,Justin Wilcox,KO (punches),1,0:50,,Main card,Bellator 127,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (173 lb),Fernando Gonzalez,Karo Parisyan,TKO (punches),1,1:43,,Main card,Bellator 127,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (138 lb),Rafael Silva,Rob Emerson,"Decision (unanimous) (30-27, 29-28, 29-28)",3,5:00,,Main card,Bellator 127,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Kendall Grove,Christian M'Pumbu,Submission (rear-naked choke),2,4:14,,Main card,Bellator 127,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Ray Sloan,Nick Moghaddam,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,,Preliminary Card (Spike.com),Bellator 127,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Saad Awad,Sergio Rios,"Decision (unanimous) (30-26, 30-27, 30-27)",3,5:00,,Preliminary Card (Spike.com),Bellator 127,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Keith Berry,Joe Pacheco,No Contest,3,5:00,[a],Preliminary Card (Spike.com),Bellator 127,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Light Heavyweight,Rameau Thierry Sokoudjou,Malik Merad,TKO (elbows),2,4:04,,Preliminary Card (Spike.com),Bellator 127,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (177 lb),Ricky Rainey,Johnny Cisneros,TKO (knee & strikes),1,3:18,,Preliminary Card (Spike.com),Bellator 127,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Justin Baesman,John Mercurio,"Decision (split) (28-29, 29-28, 29-28)",3,5:00,,Preliminary Card (Spike.com),Bellator 127,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Shawn Bunch,David Duran,TKO (strikes),1,,,Unaired,Bellator 127,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Bantamweight,Joe Warren (ic),Eduardo Dantas (c),"Decision (unanimous) (48-47, 48-47, 48-47)",5,5:00,[a],Main card,Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Michael Page,Nah-Shon Burrell,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,,Main card,Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (160 lb),Alexander Sarnavskiy,Dakota Cochrane,Submission (rear-naked choke),1,2:32,,Main card,Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Emiliano Sordi,Bubba McDaniel,Submission (guillotine choke),1,0:58,,Main card,Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Cortez Coleman,William Florentino,Decision (unanimous),3,5:00,,Preliminary Card (Spike.com),Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Jason Butcher,Andreas Michailidis,TKO (punches),2,0:28,[b],Preliminary Card (Spike.com),Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Emmanuel Sanchez,Stephen Banaszak,Submission (rear-naked choke),1,2:18,[c],Preliminary Card (Spike.com),Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,John Teixeira,Scott Cleve,Decision (split),3,5:00,,Preliminary Card (Spike.com),Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,J.C. Cottrell,Jonathan Gary,Submission (guillotine choke),2,3:30,,Preliminary Card (Spike.com),Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Flyweight,Brenden Seyler,Demario Cade,Submission (rear-naked choke),1,1:25,,Preliminary Card (Spike.com),Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Featherweight,Cody Walker,Treston Thomison,KO (head kick),2,4:59,,Unaired,Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Lightweight,Jason Sampson,Danny Sykora,Decision (unanimous),3,5:00,,Unaired,Bellator 128,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,Paul Bradley,Josh Neer,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,,Main card,Bellator 129,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (215 lb),Houston Alexander,Virgil Zwicker,"Draw (majority) (29-28, 28-28, 28-28)",3,5:00,[a],Main card,Bellator 129,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Welterweight,André Santos,James Terry,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,,Main card,Bellator 129,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Joe Vedepo,Davin Clark,TKO (punches),3,2:27,,Main card,Bellator 129,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (139 lb),John DeVall,Chris Lane,Submission (triangle choke),1,4:40,,Preliminary Card (Spike.com),Bellator 129,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (150 lb),Eric Howser,Tim Bazer,TKO (elbows),1,4:11,,Preliminary Card (Spike.com),Bellator 129,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (150 lb),Martin Brown,Bryan Corley,KO (punches),2,0:42,,Preliminary Card (Spike.com),Bellator 129,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (168 lb),Jozette Cotton,Holly Lawson,Decision (unanimous),3,5:00,,Preliminary Card (Spike.com),Bellator 129,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Middleweight,Anthony Smith,Brian Green,Decision (unanimous),3,5:00,,Preliminary Card (Spike.com),Bellator 129,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (177 lb),Victor Moreno,Marcos Marquez,Decision (unanimous),3,5:00,,Preliminary Card (Spike.com),Bellator 129,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
Catchweight (158 lb),Michael McBride,Kevin Morris,Submission (rear-naked choke),1,4:32,,Preliminary Card (Spike.com),Bellator 129,https://en.wikipedia.org//wiki/Bellator_MMA:_Season_Eleven
